analysis,config_id,panel_id,pass_rate,bust_rate,p99_dd,half_id,window_start,window_end,n_bdays,n_blocks,median_days
bootstrap,silver_5strat_0_20,0.0,0.9882333333333334,0.004566666666666667,0.048495972314752,,,,,,
bootstrap,silver_5strat_0_20,1.0,0.9981,0.0008,0.04009739384256253,,,,,,
bootstrap,silver_5strat_0_20,2.0,0.9808666666666667,0.0061333333333333335,0.049126438950746115,,,,,,
bootstrap,silver_5strat_0_20,3.0,0.9739666666666666,0.015966666666666667,0.05368302260009185,,,,,,
bootstrap,silver_5strat_0_20,4.0,0.9811,0.013466666666666667,0.05137692373984111,,,,,,
bootstrap,silver_5strat_0_20,5.0,0.9900666666666668,0.0026333333333333334,0.04701494503856063,,,,,,
bootstrap,silver_5strat_0_20,6.0,0.9907333333333334,0.002,0.04329748184401717,,,,,,
bootstrap,silver_5strat_0_20,7.0,0.9975,0.0016666666666666668,0.04310080227127963,,,,,,
bootstrap,silver_5strat_0_20,8.0,0.9860333333333333,0.007633333333333333,0.04967515795026982,,,,,,
bootstrap,silver_5strat_0_20,9.0,0.9163,0.018699999999999998,0.054420520174431615,,,,,,
bootstrap,silver_5strat_0_20,10.0,0.9895333333333333,0.003966666666666667,0.048344301146404506,,,,,,
bootstrap,silver_5strat_0_20,11.0,0.9970666666666667,0.0018333333333333333,0.04472385576985056,,,,,,
bootstrap,silver_5strat_0_20,12.0,0.9901666666666668,0.005233333333333334,0.0482268460042472,,,,,,
bootstrap,silver_5strat_0_20,13.0,0.9905666666666667,0.0010666666666666665,0.043346921206084736,,,,,,
bootstrap,silver_5strat_0_20,14.0,0.9291999999999999,0.0095,0.05001657543867718,,,,,,
bootstrap,silver_5strat_0_20,15.0,0.9994333333333333,0.00016666666666666666,0.034782175186105255,,,,,,
bootstrap,silver_5strat_0_20,16.0,0.9971333333333333,0.0012,0.04165145517806221,,,,,,
bootstrap,silver_5strat_0_20,17.0,0.9942333333333334,0.0043,0.04761437394589495,,,,,,
bootstrap,silver_5strat_0_20,18.0,0.9985333333333334,0.0012666666666666666,0.04270382396009987,,,,,,
bootstrap,silver_5strat_0_20,19.0,0.9845999999999999,0.002933333333333333,0.04621162884234922,,,,,,
bootstrap,silver_5strat_0_20,20.0,0.9853333333333335,0.0052,0.049060914523213275,,,,,,
bootstrap,silver_5strat_0_20,21.0,0.9873333333333334,0.004933333333333334,0.04819918340954272,,,,,,
bootstrap,silver_5strat_0_20,22.0,0.9968,0.0021333333333333334,0.04526006605313783,,,,,,
bootstrap,silver_5strat_0_20,23.0,0.9759333333333333,0.0034000000000000002,0.047422625526178194,,,,,,
bootstrap,silver_5strat_0_20,24.0,0.9433333333333334,0.005733333333333333,0.0488157632014681,,,,,,
bootstrap,silver_5strat_0_20,25.0,0.9803999999999999,0.0062,0.04938322017080082,,,,,,
bootstrap,silver_5strat_0_20,26.0,0.9885333333333334,0.003833333333333333,0.04736169706379395,,,,,,
bootstrap,silver_5strat_0_20,27.0,0.9942666666666667,0.0028,0.04612853114873653,,,,,,
bootstrap,silver_5strat_0_20,28.0,0.9808666666666667,0.008833333333333332,0.04993061711571143,,,,,,
bootstrap,silver_5strat_0_20,29.0,0.977,0.011000000000000001,0.05167042573654894,,,,,,
bootstrap,silver_5strat_0_20,30.0,0.9952666666666666,0.002133333333333333,0.044813595700960676,,,,,,
bootstrap,silver_5strat_0_20,31.0,0.9915333333333334,0.004666666666666667,0.048553608579070776,,,,,,
bootstrap,silver_5strat_0_20,32.0,0.9601666666666667,0.0098,0.05043415844285582,,,,,,
bootstrap,silver_5strat_0_20,33.0,0.9946666666666667,0.0017666666666666666,0.04459178911961195,,,,,,
bootstrap,silver_5strat_0_20,34.0,0.9507333333333333,0.021033333333333334,0.05526784288180966,,,,,,
bootstrap,silver_5strat_0_20,35.0,0.9925666666666667,0.0016333333333333332,0.045003109954000385,,,,,,
bootstrap,silver_5strat_0_20,36.0,0.9559666666666665,0.005766666666666667,0.04925658185313796,,,,,,
bootstrap,silver_5strat_0_20,37.0,0.9253333333333332,0.019566666666666666,0.05608213191562698,,,,,,
bootstrap,silver_5strat_0_20,38.0,0.9993,0.0002666666666666667,0.03842626389379427,,,,,,
bootstrap,silver_5strat_0_20,39.0,0.9990666666666667,0.0007666666666666668,0.040192158374017614,,,,,,
bootstrap,silver_5strat_0_20,40.0,0.9834666666666667,0.0048,0.049203493466808884,,,,,,
bootstrap,silver_5strat_0_20,41.0,0.9906,0.0030333333333333336,0.04725753804551555,,,,,,
bootstrap,silver_5strat_0_20,42.0,0.9878666666666667,0.0042,0.04761309354267931,,,,,,
bootstrap,silver_5strat_0_20,43.0,0.9878,0.008266666666666667,0.049785688122522063,,,,,,
bootstrap,silver_5strat_0_20,44.0,0.9899999999999999,0.005733333333333333,0.049066932506539804,,,,,,
bootstrap,silver_5strat_0_20,45.0,0.9956666666666667,0.0012666666666666668,0.04133015848263081,,,,,,
bootstrap,silver_5strat_0_20,46.0,0.9933000000000001,0.0037666666666666664,0.04706863420796295,,,,,,
bootstrap,silver_5strat_0_20,47.0,0.9815333333333333,0.004566666666666666,0.0490793922689773,,,,,,
bootstrap,silver_5strat_0_20,48.0,0.9892333333333333,0.008100000000000001,0.04957772100268325,,,,,,
bootstrap,silver_5strat_0_20,49.0,0.9913333333333334,0.004166666666666667,0.04804023459392628,,,,,,
bootstrap,silver_5strat_0_20,50.0,0.9879333333333333,0.004033333333333333,0.04789027834107388,,,,,,
bootstrap,silver_5strat_0_20,51.0,0.9685333333333332,0.010700000000000001,0.05250107547690685,,,,,,
bootstrap,silver_5strat_0_20,52.0,0.9737333333333332,0.004533333333333334,0.04871811242150754,,,,,,
bootstrap,silver_5strat_0_20,53.0,0.9892333333333333,0.002766666666666667,0.046043453411518005,,,,,,
bootstrap,silver_5strat_0_20,54.0,0.9905333333333334,0.005399999999999999,0.04866046789878068,,,,,,
bootstrap,silver_5strat_0_20,55.0,0.9931999999999999,0.0014333333333333333,0.04470381731901193,,,,,,
bootstrap,silver_5strat_0_20,56.0,0.9526,0.004933333333333334,0.04925384794506335,,,,,,
bootstrap,silver_5strat_0_20,57.0,0.9983999999999998,0.0005666666666666666,0.04068368145190095,,,,,,
bootstrap,silver_5strat_0_20,58.0,0.992,0.004699999999999999,0.048384265098209964,,,,,,
bootstrap,silver_5strat_0_20,59.0,0.9882333333333332,0.006366666666666666,0.04938054816179808,,,,,,
bootstrap,silver_5strat_0_20,60.0,0.9889,0.004166666666666667,0.048831176271725694,,,,,,
bootstrap,silver_5strat_0_20,61.0,0.9941666666666666,0.004,0.04968268280905271,,,,,,
bootstrap,silver_5strat_0_20,62.0,0.9952,0.0018666666666666666,0.04548008765111415,,,,,,
bootstrap,silver_5strat_0_20,63.0,0.9511666666666666,0.017166666666666663,0.05462954331334728,,,,,,
bootstrap,silver_5strat_0_20,64.0,0.9867,0.0041,0.04782083976080571,,,,,,
bootstrap,silver_5strat_0_20,65.0,0.9934999999999999,0.004066666666666667,0.04819304992302935,,,,,,
bootstrap,silver_5strat_0_20,66.0,0.9627333333333333,0.0022,0.045380747783339205,,,,,,
bootstrap,silver_5strat_0_20,67.0,0.9983333333333334,0.0008,0.04011052129681277,,,,,,
bootstrap,silver_5strat_0_20,68.0,0.9919333333333333,0.0029,0.04771872879793399,,,,,,
bootstrap,silver_5strat_0_20,69.0,0.9976666666666668,0.0006,0.03993707250949694,,,,,,
bootstrap,silver_5strat_0_20,70.0,0.9599333333333334,0.004033333333333333,0.048472797652703514,,,,,,
bootstrap,silver_5strat_0_20,71.0,0.9916,0.0028666666666666667,0.04588859311410223,,,,,,
bootstrap,silver_5strat_0_20,72.0,0.9787666666666666,0.006566666666666668,0.04918122553832618,,,,,,
bootstrap,silver_5strat_0_20,73.0,0.9744666666666667,0.006233333333333334,0.049556287010945846,,,,,,
bootstrap,silver_5strat_0_20,74.0,0.9926,0.0026,0.045666443389845435,,,,,,
bootstrap,silver_5strat_0_20,75.0,0.972,0.012666666666666666,0.051285945560443885,,,,,,
bootstrap,silver_5strat_0_20,76.0,0.9901666666666666,0.0055000000000000005,0.04874816896805063,,,,,,
bootstrap,silver_5strat_0_20,77.0,0.9994999999999999,0.0003333333333333333,0.037484838480608206,,,,,,
bootstrap,silver_5strat_0_20,78.0,0.9872333333333333,0.0029666666666666665,0.045726755925053736,,,,,,
bootstrap,silver_5strat_0_20,79.0,0.9923000000000001,0.0024,0.04635612091066032,,,,,,
bootstrap,silver_5strat_0_20,80.0,0.9968,0.002033333333333333,0.043257166059838086,,,,,,
bootstrap,silver_5strat_0_20,81.0,0.9993333333333334,0.0005666666666666666,0.03876329029376898,,,,,,
bootstrap,silver_5strat_0_20,82.0,0.9881333333333333,0.0053,0.049573022660408174,,,,,,
bootstrap,silver_5strat_0_20,83.0,0.9943333333333334,0.0012666666666666666,0.041189595126661684,,,,,,
bootstrap,silver_5strat_0_20,84.0,0.9561999999999999,0.017266666666666666,0.05465661152249455,,,,,,
bootstrap,silver_5strat_0_20,85.0,0.9829666666666667,0.011433333333333332,0.05216466515861148,,,,,,
bootstrap,silver_5strat_0_20,86.0,0.9963333333333333,0.0022,0.04605547944887355,,,,,,
bootstrap,silver_5strat_0_20,87.0,0.9979333333333334,0.0013333333333333333,0.04101629496554264,,,,,,
bootstrap,silver_5strat_0_20,88.0,0.9689333333333333,0.005566666666666667,0.049121810942905526,,,,,,
bootstrap,silver_5strat_0_20,89.0,0.9691000000000001,0.0084,0.04981635046952122,,,,,,
bootstrap,silver_5strat_0_20,90.0,0.9961666666666668,0.0032999999999999995,0.04761263497413325,,,,,,
bootstrap,silver_5strat_0_20,91.0,0.9935333333333333,0.002,0.04386904127771283,,,,,,
bootstrap,silver_5strat_0_20,92.0,0.9891333333333333,0.006466666666666667,0.04946548771571752,,,,,,
bootstrap,silver_5strat_0_20,93.0,0.9827666666666666,0.0083,0.04986060537613956,,,,,,
bootstrap,silver_5strat_0_20,94.0,0.9968666666666667,0.00036666666666666667,0.03876814274654277,,,,,,
bootstrap,silver_5strat_0_20,95.0,0.9929,0.0032,0.046534817064034,,,,,,
bootstrap,silver_5strat_0_20,96.0,0.9421666666666667,0.014266666666666665,0.053641924331193996,,,,,,
bootstrap,silver_5strat_0_20,97.0,0.9916666666666667,0.003766666666666667,0.04712533164302932,,,,,,
bootstrap,silver_5strat_0_20,98.0,0.9800666666666666,0.004833333333333333,0.048551985924004955,,,,,,
bootstrap,silver_5strat_0_20,99.0,0.9967,0.0032666666666666664,0.045749343864243126,,,,,,
half_panel,silver_5strat_0_20,,0.9268666666666667,0.004933333333333334,0.048828877471208024,H1,2022-01-04,2024-04-30,606.0,120.0,31.0
half_panel,silver_5strat_0_20,,0.9979999999999999,0.0019333333333333331,0.04548091109930248,H2,2024-05-01,2026-04-20,514.0,102.0,12.0
