Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
115,Exit long,2026-02-11 13:15,X-Long,152.877,2267176,346519714.2,379.16,0.02,1753,0.08,-4353.86,-0.19,154449.4,77.22
115,Entry long,2026-02-11 12:15,Long,152.842,2267176,346519714.2,379.16,0.02,1753,0.08,-4353.86,-0.19,154449.4,77.22
116,Exit long,2026-02-23 10:30,X-Long,154.408,4658930,719320156.3,82.18,0.00,2383.91,0.05,-619.7,-0.01,154531.58,77.27
116,Entry long,2026-02-23 10:15,Long,154.396,4658930,719320156.3,82.18,0.00,2383.91,0.05,-619.7,-0.01,154531.58,77.27
117,Exit long,2026-02-25 10:30,X-Long,156.464,4388046,686501020.6,186.05,0.00,1865.61,0.04,-1313.77,-0.03,154717.64,77.36
117,Entry long,2026-02-25 10:15,Long,156.448,4388046,686501020.6,186.05,0.00,1865.61,0.04,-1313.77,-0.03,154717.64,77.36
118,Exit long,2026-03-03 14:30,X-Long,157.586,4351426,685662897.7,125.65,0.00,6780.47,0.16,-1015.31,-0.02,154843.28,77.42
118,Entry long,2026-03-03 13:45,Long,157.572,4351426,685662897.7,125.65,0.00,6780.47,0.16,-1015.31,-0.02,154843.28,77.42
119,Exit long,2026-03-09 14:45,X-Long,158.39,4199827,663644063.1,9676.03,0.23,9802.52,0.23,-1324.02,-0.03,164519.31,82.26
119,Entry long,2026-03-09 12:45,Long,158.017,4199827,663644063.1,9676.03,0.23,9802.52,0.23,-1324.02,-0.03,164519.31,82.26
120,Exit long,2026-03-10 14:00,X-Long,157.767,5064076,797343830.3,9841.96,0.19,9993.92,0.20,-247.97,0.00,174361.28,87.18
120,Entry long,2026-03-10 13:30,Long,157.451,5064076,797343830.3,9841.96,0.19,9993.92,0.20,-247.97,0.00,174361.28,87.18
121,Exit long,2026-03-16 11:00,X-Long,159.208,6445678,1023934624,13813.75,0.22,14006.41,0.22,-393.92,-0.01,188175.03,94.09
121,Entry long,2026-03-16 10:15,Long,158.856,6445678,1023934624,13813.75,0.22,14006.41,0.22,-393.92,-0.01,188175.03,94.09
122,Exit long,2026-04-13 12:00,X-Long,159.767,9259603,1477341880,12228.23,0.13,12506.77,0.13,-2660.8,-0.03,200403.25,100.20
122,Entry long,2026-04-13 10:45,Long,159.547,9259603,1477341880,12228.23,0.13,12506.77,0.13,-2660.8,-0.03,200403.25,100.20
123,Exit long,2026-04-15 13:45,X-Long,159.086,6714036,1066094920,12274.46,0.18,12476.14,0.19,-666.14,-0.01,212677.72,106.34
123,Entry long,2026-04-15 12:30,Long,158.786,6714036,1066094920,12274.46,0.18,12476.14,0.19,-666.14,-0.01,212677.72,106.34
