Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
155,Exit long,2024-10-18 13:45,Exit Long,43317.6,57.03,2470288.668,114.06,0.00,2497.91,0.10,-1380.13,-0.06,147225.47,73.61
155,Entry long,2024-10-18 12:30,Long,43315.6,57.03,2470288.668,114.06,0.00,2497.91,0.10,-1380.13,-0.06,147225.47,73.61
156,Exit long,2024-10-22 11:45,Exit Long,42897.2,49.5,2123292.6,118.8,0.01,1772.1,0.08,-2633.4,-0.12,147344.27,73.67
156,Entry long,2024-10-22 11:00,Long,42894.8,49.5,2123292.6,118.8,0.01,1772.1,0.08,-2633.4,-0.12,147344.27,73.67
157,Exit long,2024-10-22 13:00,Exit Long,42969.7,54.17,2327554.892,113.76,0.00,1505.93,0.06,-552.53,-0.02,147458.03,73.73
157,Entry long,2024-10-22 12:30,Long,42967.6,54.17,2327554.892,113.76,0.00,1505.93,0.06,-552.53,-0.02,147458.03,73.73
158,Exit long,2024-11-01 10:30,Exit Long,42212.2,41.25,1745724.75,-4471.5,-0.26,198,0.01,-5601.75,-0.32,142986.53,71.49
158,Entry long,2024-11-01 10:15,Long,42320.6,41.25,1745724.75,-4471.5,-0.26,198,0.01,-5601.75,-0.32,142986.53,71.49
159,Exit long,2024-11-05 10:45,Exit Long,42159.5,57.31,2410286.67,5874.28,0.24,9845.86,0.41,-1386.9,-0.06,148860.81,74.43
159,Entry long,2024-11-05 09:45,Long,42057,57.31,2410286.67,5874.28,0.24,9845.86,0.41,-1386.9,-0.06,148860.81,74.43
160,Exit long,2024-11-08 11:30,Exit Long,44038.6,59.32,2606852.992,5516.76,0.21,8292.94,0.32,-1079.62,-0.04,154377.56,77.19
160,Entry long,2024-11-08 10:00,Long,43945.6,59.32,2606852.992,5516.76,0.21,8292.94,0.32,-1079.62,-0.04,154377.56,77.19
161,Exit long,2024-11-12 09:45,Exit Long,44331.6,61.55,2734543.4,-5933.42,-0.22,1058.66,0.04,-6511.99,-0.24,148444.14,74.22
161,Entry long,2024-11-12 09:30,Long,44428,61.55,2734543.4,-5933.42,-0.22,1058.66,0.04,-6511.99,-0.24,148444.14,74.22
162,Exit long,2024-11-19 13:15,Exit Long,43309.5,33.32,1442949.256,123.28,0.01,1626.02,0.11,-2325.74,-0.16,148567.42,74.28
162,Entry long,2024-11-19 11:15,Long,43305.8,33.32,1442949.256,123.28,0.01,1626.02,0.11,-2325.74,-0.16,148567.42,74.28
163,Exit long,2024-11-22 10:00,Exit Long,44104.8,45.23,1999247.414,-4387.31,-0.22,687.5,0.03,-5753.26,-0.29,144180.12,72.09
163,Entry long,2024-11-22 09:45,Long,44201.8,45.23,1999247.414,-4387.31,-0.22,687.5,0.03,-5753.26,-0.29,144180.12,72.09
164,Exit long,2024-11-29 12:45,Exit Long,45044.2,57.97,2604696.446,6515.83,0.25,9588.24,0.37,-707.23,-0.03,150695.95,75.35
164,Entry long,2024-11-29 10:45,Long,44931.8,57.97,2604696.446,6515.83,0.25,9588.24,0.37,-707.23,-0.03,150695.95,75.35
165,Exit long,2024-11-29 12:45,Exit Long Add,45044.2,202.92,9146091.408,-5722.34,-0.06,4342.49,0.05,-5722.34,-0.06,144973.61,72.49
165,Entry long,2024-11-29 12:15,Long Add,45072.4,202.92,9146091.408,-5722.34,-0.06,4342.49,0.05,-5722.34,-0.06,144973.61,72.49
166,Exit long,2024-12-10 11:45,Exit Long,44434.6,51.71,2297599.404,113.76,0.00,3081.92,0.13,-1303.09,-0.06,145087.36,72.54
