trade_num,signal,entry_dt_utc,net_pnl_usd,n_entries_that_day,nearest_event_minutes_signed,nearest_event_type,in_window_30,in_window_60,in_window_90,in_window_120,in_window_180
180,Long Add,2025-05-27 17:45:00,-4012.4,2,-4005,none,False,False,False,False,False
181,Long,2025-06-03 15:00:00,5769.75,2,-1380,none,False,False,False,False,False
182,Long Add,2025-06-03 16:30:00,4073.03,2,-1290,none,False,False,False,False,False
183,Long,2025-06-27 13:45:00,22644.88,3,75,PCE,False,False,True,True,True
184,Long Add,2025-06-27 15:15:00,43847.32,3,165,PCE,False,False,False,False,True
185,Long,2025-06-27 16:15:00,-3893.29,3,225,PCE,False,False,False,False,False
186,Long,2025-07-01 14:00:00,15054.12,2,0,ISM_Mfg,True,True,True,True,True
187,Long,2025-07-01 16:00:00,-3991.55,2,120,ISM_Mfg,False,False,False,True,True
188,Long,2025-08-12 14:00:00,147.63,1,-1350,none,False,False,False,False,False
189,Long,2025-08-19 14:15:00,-3962.64,1,105,RetailSales,False,False,False,True,True
190,Long,2025-08-22 14:45:00,246.35,1,4455,none,False,False,False,False,False
191,Long,2025-09-09 15:15:00,-3923.12,1,-1275,none,False,False,False,False,False
192,Long,2025-09-23 13:45:00,-3894.56,1,-4245,none,False,False,False,False,False
193,Long,2025-10-03 13:45:00,13912.94,2,-15,ISM_Svc,True,True,True,True,True
194,Long,2025-10-03 16:00:00,143.1,2,120,ISM_Svc,False,False,False,True,True
195,Long,2025-10-14 14:15:00,13930.2,2,7305,none,False,False,False,False,False
196,Long Add,2025-10-14 15:45:00,15953.7,2,7395,none,False,False,False,False,False
197,Long,2025-10-21 14:30:00,8123.22,1,120,RetailSales,False,False,False,True,True
198,Long,2025-10-24 13:45:00,-4367.49,1,1515,none,False,False,False,False,False
199,Long,2025-11-04 14:45:00,2983.56,1,1425,none,False,False,False,False,False
200,Long,2025-11-11 16:45:00,11561.55,2,-1245,none,False,False,False,False,False
201,Long Add,2025-11-11 18:15:00,-10197.2,2,-1155,none,False,False,False,False,False
202,Long,2025-11-14 16:15:00,165.6,1,1605,none,False,False,False,False,False
203,Long,2025-11-21 16:15:00,7758.72,1,4485,none,False,False,False,False,False
