stage,stage_idx,count,rate_vs_universe,rate_vs_prev_stage,strategy,feed,panel_window,canonical_status
universe,0,101461,1.0,1.0,guardian,OANDA,2022-01-02_2026-04-19,PROXY
signal_raw,1,3509,0.03458471728053143,0.03458471728053143,guardian,OANDA,2022-01-02_2026-04-19,PROXY
day_pass,2,2082,0.020520199879756753,0.5933314334568253,guardian,OANDA,2022-01-02_2026-04-19,PROXY
session_pass,3,742,0.007313154808251446,0.356388088376561,guardian,OANDA,2022-01-02_2026-04-19,PROXY
hour_pass,4,530,0.00522368200589389,0.7142857142857143,guardian,OANDA,2022-01-02_2026-04-19,PROXY
