exit_reason,pnl_price,bars_held,atr_at_entry,mfe_price,mae_price,mfe_R,mae_R,sim_R,sim_pnl_pct,timestamp_utc,block_atr,block_session,block_dow,block_warmup,block_body,block_prev_bullish,strategy,block_atr_cohort_n,block_session_cohort_n,block_dow_cohort_n,block_warmup_cohort_n,block_body_cohort_n,block_prev_bullish_cohort_n,thin_cohort_any,feed,panel_window,canonical_status,simulation_simplifications
stop_or_be,1.2439002517785411,1,24.878005035630242,29.5,0.0,0.9486291190230132,0.0,0.039999999999904466,0.039999999999904466,2022-01-03T10:00:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,1.26490931979788,2,25.298186396027493,5.0,8.5,0.15811410104196677,0.2687939717713435,0.03999999999988949,0.03999999999988949,2022-01-03T10:15:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,1.1431068758683978,2,22.86213751737809,21.0,4.5,0.7348394255449603,0.15746559118820577,0.039999999999982265,0.039999999999982265,2022-01-03T10:45:00+00:00,1,1,1,1,0,1,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,1.1346426144227735,1,22.692852288525536,6.5,11.5,0.22914704303739464,0.40541399922000587,0.039999999999876495,0.039999999999876495,2022-01-03T11:00:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.7036428690262255,1,54.07285738047935,32.599999999998545,9.400000000001455,0.4823122221281741,0.13907162233146445,0.040000000000033405,0.040000000000033405,2022-01-03T18:45:00+00:00,1,1,1,1,0,1,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.648766244565195,2,52.97532489134486,44.400000000001455,35.0,0.6705008430406897,0.5285479618563822,0.039999999999969074,0.039999999999969074,2022-01-03T19:00:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.659724169061519,1,53.19448338127686,11.0,25.0,0.16543068830888172,0.3759788370656402,0.03999999999996505,0.03999999999996505,2022-01-03T19:30:00+00:00,1,1,1,1,0,1,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.734598337832722,21,54.69196675666483,8.5,51.0,0.12433270191680104,0.7459962115008063,0.0399999999999924,0.0399999999999924,2022-01-03T20:45:00+00:00,0,1,1,1,0,1,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,1.1673943628411507,2,23.34788725683878,10.5,16.0,0.35977559372270707,0.548229476148887,0.03999999999997299,0.03999999999997299,2022-01-04T02:45:00+00:00,1,1,0,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,1.1590036056513782,1,23.1800721130899,7.5,2.0,0.2588430256268172,0.06902480683381793,0.039999999999892434,0.039999999999892434,2022-01-04T03:15:00+00:00,1,1,0,1,0,1,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,1.0968214596869075,2,21.93642919371809,3.5,8.0,0.12764155803451516,0.29175213265032035,0.040000000000036576,0.040000000000036576,2022-01-04T03:30:00+00:00,1,1,0,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.9930342642037431,1,19.860685284064537,19.5,3.0,0.785471386151859,0.1208417517156706,0.04000000000002079,0.04000000000002079,2022-01-04T04:00:00+00:00,1,1,0,1,0,1,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,1.0050311492741457,2,20.100622985513215,12.0,4.0,0.47759713750757116,0.15919904583585703,0.0399999999999397,0.0399999999999397,2022-01-04T04:15:00+00:00,1,1,0,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.9208935118003865,1,18.417870235961335,8.0,0.0,0.3474886030798418,0.0,0.04000000000010076,0.04000000000010076,2022-01-04T04:45:00+00:00,1,1,0,1,0,1,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
