year,n_days,n_runs,mean_run_len,p95_run_len,max_run_len,mean_pos_run,mean_neg_run,max_pos_run,max_neg_run
2022,309,166,1.8614457831325302,4.0,8,1.819277108433735,1.9036144578313252,6,8
2023,309,142,2.176056338028169,5.0,12,2.295774647887324,2.056338028169014,5,12
2024,313,163,1.9202453987730062,5.0,7,2.073170731707317,1.7654320987654322,7,5
2025,312,152,2.0526315789473686,5.0,8,2.3815789473684212,1.7236842105263157,8,5
2026,92,46,2.0,5.0,7,2.3043478260869565,1.6956521739130435,7,6
