,xau_weekly_ret
2022-01-03,-0.015840324360088864
2022-01-10,0.014059304058211985
2022-01-17,0.00831397385247623
2022-01-24,-0.02550342917372106
2022-01-31,0.011501365217490012
2022-02-07,0.026377952730810783
2022-02-14,0.024163051336609342
2022-02-21,-0.0013810217258214408
2022-02-28,0.030702369546933284
2022-03-07,-0.0006334364136089121
2022-03-14,-0.02831079922871904
2022-03-21,0.016202920011234134
2022-03-28,-0.01018689795704475
2022-04-04,0.014806043303485339
2022-04-11,0.015547973077295829
2022-04-18,-0.02684677023048998
2022-04-25,-0.014236680508854072
2022-05-02,-0.0026747375340487878
2022-05-09,-0.03453674721281175
2022-05-16,0.01956892965481316
2022-05-23,-0.0006527045664821429
2022-05-30,-0.005191099625003304
2022-06-06,0.008251473917609609
2022-06-13,-0.012491745709013458
2022-06-20,-0.009043376933299818
2022-06-27,-0.013958724330487726
2022-07-04,-0.03890930447135954
2022-07-11,-0.020440224936282725
2022-07-18,0.006687395432518173
2022-07-25,0.02218325135829602
2022-08-01,0.007690834532010804
2022-08-08,0.015961675915989737
2022-08-15,-0.027086200537626226
2022-08-22,-0.0049244219490427454
2022-08-29,-0.006953200289479433
2022-09-05,0.0029772297616901255
2022-09-12,-0.02256933951978546
2022-09-19,-0.015314706451854398
2022-09-26,0.013562766147545702
2022-10-03,0.01847943230845317
2022-10-10,-0.026668487123996165
2022-10-17,0.004459076909113513
2022-10-24,-0.005875486060745949
2022-10-31,0.021947508968603202
2022-11-07,0.05734357302465121
2022-11-14,-0.0059507206826099335
2022-11-21,0.004260426400001904
2022-11-28,0.02600622705536093
2022-12-05,-0.006300141738781129
2022-12-12,0.00316143980236383
2022-12-19,0.0030406077906377504
2022-12-26,0.014005471578878215
2023-01-02,0.022939296867513725
2023-01-09,0.02281980514323667
2023-01-16,0.0018864547271837395
2023-01-23,-0.0009747650706755095
2023-01-30,-0.03568009218064461
2023-02-06,-0.007019559572643885
2023-02-13,-0.008280121352100878
2023-02-20,-0.01734199716035434
2023-02-27,0.025145978326544416
2023-03-06,0.006973781956696179
2023-03-13,0.054607469873229064
2023-03-20,0.0028363071141752627
2023-03-27,-0.0027206002604778234
2023-04-03,0.028273905962334034
2023-04-10,0.006630306583291556
2023-04-17,-0.010780822504171006
2023-04-24,0.004369849249009405
2023-05-01,0.016689552924908924
2023-05-08,-0.006065529585098872
2023-05-15,-0.01811447233632535
2023-05-22,-0.015784430739768318
2023-05-29,0.0012455780385494108
2023-06-05,0.00694746666820123
2023-06-12,-0.0004877345084572937
2023-06-19,-0.017833618967779685
2023-06-26,-0.003126091605523129
2023-07-03,0.0037227132138921704
2023-07-10,0.016234909523981322
2023-07-17,0.004989618528410844
2023-07-24,-0.00044647926335272814
2023-07-31,-0.006168345052572022
2023-08-07,-0.01323319542388468
2023-08-14,-0.012226849862104316
2023-08-21,0.011933491414878539
2023-08-28,0.012185516671750385
2023-09-04,-0.01341603781350198
2023-09-11,0.0002781167614465119
2023-09-18,-0.001772021982204386
2023-09-25,-0.03978342586554717
2023-10-02,-0.006254841079717188
2023-10-09,0.04287243068365143
2023-10-16,0.031155790818616858
2023-10-23,0.016275066849327224
2023-10-30,-0.004756334880214652
2023-11-06,-0.023159045180418225
2023-11-13,0.0229137914368156
2023-11-20,0.010532199435948186
2023-11-27,0.028825293306979027
2023-12-04,-0.03967239324734084
2023-12-11,0.011348903892707263
2023-12-18,0.014699364865490061
2023-12-25,0.00478591864011868
2024-01-01,-0.00849921390249797
2024-01-08,0.006501811141016667
2024-01-15,-0.012125515850787139
2024-01-22,-0.003444489199252665
2024-01-29,0.006610846346412735
2024-02-05,-0.003734866133158654
2024-02-12,-0.004949904196773325
2024-02-19,0.008013351533339375
2024-02-26,0.02450645600261847
2024-03-04,0.046123360878872255
2024-03-11,-0.010868318383770337
2024-03-18,0.008573531778981014
2024-03-25,0.028373048908222565
2024-04-01,0.02858515872910239
2024-04-08,-0.0005885049798308728
2024-04-15,0.014071798267785596
2024-04-22,-0.01333850188705199
2024-04-29,-0.011532808072418632
2024-05-06,0.02193706262163797
2024-05-13,0.024121641971668772
2024-05-20,-0.04345913118327349
2024-05-27,-0.008094940438850173
2024-06-03,-0.011831714098166302
2024-06-10,0.016106588008937273
2024-06-17,-0.0011084029910213289
2024-06-24,0.0005094336691060519
2024-07-01,0.0283326453221715
2024-07-08,0.011639826532339193
2024-07-15,-0.004502888142809525
2024-07-22,-0.008254415769486378
2024-07-29,0.01976451063663731
2024-08-05,-0.008094606380961267
2024-08-12,0.03220177766022836
2024-08-19,0.0036862560893604623
2024-08-26,-0.002611032641230082
2024-09-02,0.00047457471888101566
2024-09-09,0.03125451323324491
2024-09-16,0.013754260585593592
2024-09-23,0.011421800389435077
2024-09-30,7.724953960330794e-05
2024-10-07,0.003649611567342781
2024-10-14,0.02464636838980283
2024-10-21,0.0057038140110101665
2024-10-28,0.002455093354005733
2024-11-04,-0.020905284675403202
2024-11-11,-0.04167150211122994
2024-11-18,0.04673803270867616
2024-11-25,-0.008350720385506882
2024-12-02,0.0017864070612114702
2024-12-09,0.00477602454952919
2024-12-16,-0.011098379813902604
2024-12-23,-0.0013568031839668038
2024-12-30,0.006628669979097168
2025-01-06,0.02023211295837779
2025-01-13,0.006325570727262253
2025-01-20,0.023676756721166647
2025-01-27,0.014287011466595168
2025-02-03,0.028462602262212755
2025-02-10,0.0010941003678794914
2025-02-17,0.012576842118304121
2025-02-24,-0.028576895856063267
2025-03-03,0.014982649116875635
2025-03-10,0.0250574723869601
2025-03-17,0.01229424137994961
2025-03-24,0.022415437960411566
2025-03-31,-0.022555621999902797
2025-04-07,0.06999864899829156
2025-04-14,0.028957262627251623
2025-04-21,-0.018812129407383082
2025-04-28,-0.015279393367876537
2025-05-05,0.021526797983300483
2025-05-12,-0.02435738830907752
2025-05-19,0.044406486706304094
2025-05-26,-0.0174622319293416
2025-06-02,0.0003565611827252013
2025-06-09,0.03617394549404729
2025-06-16,-0.018474669665557997
2025-06-23,-0.02690427708277454
2025-06-30,0.017396974417058786
2025-07-07,0.01340725445909996
2025-07-14,-0.0021200789179349755
2025-07-21,-0.0042536618287112304
2025-07-28,0.005807974944548988
2025-08-04,0.01106242637093402
2025-08-11,-0.012731512096554098
2025-08-18,0.007146018586819736
2025-08-25,0.023501421695060642
2025-09-01,0.03166105378114459
2025-09-08,0.01648808315674266
2025-09-15,0.01063855057986629
2025-09-22,0.01723747001395992
2025-09-29,0.02392765130822916
2025-10-06,0.021910416898808904
2025-10-13,0.04869849447642771
2025-10-20,-0.03595764529822887
2025-10-27,-0.01658372944676678
2025-11-03,-0.0006058732411240442
2025-11-10,0.007759224091508088
2025-11-17,-0.00335720363602654
2025-11-24,0.041545523959513275
2025-12-01,-0.011152989799908752
2025-12-08,0.021336935424070447
2025-12-15,0.00290249835761891
2025-12-22,0.03016104037119227
2025-12-29,-0.04154356078641541
2026-01-05,0.023638155708983533
2026-01-12,0.006025093976614215
2026-01-19,0.06720758636847535
2026-01-26,-0.035112592020389854
2026-02-02,0.05909313755228496
2026-02-09,0.006123526610574359
2026-02-16,0.025708784999093126
2026-02-23,0.022522221035297108
2026-03-02,-0.03507705052190779
2026-03-09,-0.013978841880081916
2026-03-16,-0.1097463452894285
2026-03-23,0.03181011254726407
2026-03-30,0.039380880103612625
2026-04-06,0.02317214186834704
2026-04-13,0.023758732901221435
