Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
16,Exit long,2022-11-14 13:45,X-Long,139.864,1542459,216161746.7,-3171.77,-0.20,475.61,0.03,-3125.14,-0.20,-6153.57,-3.08
16,Entry long,2022-11-14 13:15,Long,140.141,1542459,216161746.7,-3171.77,-0.20,475.61,0.03,-3125.14,-0.20,-6153.57,-3.08
17,Exit long,2022-11-23 10:30,X-Long,140.216,1462003,205094166.8,-780.51,-0.05,815.45,0.06,-1927.17,-0.13,-6934.08,-3.47
17,Entry long,2022-11-23 10:15,Long,140.283,1462003,205094166.8,-780.51,-0.05,815.45,0.06,-1927.17,-0.13,-6934.08,-3.47
18,Exit long,2022-12-07 13:30,X-Long,136.294,1536506,209382745.6,154.96,0.01,694.05,0.05,-550.3,-0.04,-6779.12,-3.39
18,Entry long,2022-12-07 13:15,Long,136.272,1536506,209382745.6,154.96,0.01,694.05,0.05,-550.3,-0.04,-6779.12,-3.39
19,Exit long,2023-01-11 13:15,X-Long,132.636,2204334,291745809.2,4617.59,0.21,4683.91,0.21,-1166.2,-0.05,-2161.53,-1.08
19,Entry long,2023-01-11 13:15,Long,132.351,2204334,291745809.2,4617.59,0.21,4683.91,0.21,-1166.2,-0.05,-2161.53,-1.08
20,Exit long,2023-01-25 10:45,X-Long,129.519,1637161,212009075.2,166.36,0.01,1284.1,0.08,-2941.11,-0.18,-1995.17,-1.00
20,Entry long,2023-01-25 10:15,Long,129.498,1637161,212009075.2,166.36,0.01,1284.1,0.08,-2941.11,-0.18,-1995.17,-1.00
21,Exit long,2023-02-07 23:00,Stale,131.132,1431669,186934453,6042.12,0.42,9744.71,0.69,-894.72,-0.06,4046.95,2.02
21,Entry long,2023-02-07 13:00,Long,130.571,1431669,186934453,6042.12,0.42,9744.71,0.69,-894.72,-0.06,4046.95,2.02
22,Exit long,2023-03-06 13:45,X-Long,136.053,2320650,314856509.4,6300.78,0.27,6370.5,0.27,-786.99,-0.03,10347.73,5.17
22,Entry long,2023-03-06 10:15,Long,135.676,2320650,314856509.4,6300.78,0.27,6370.5,0.27,-786.99,-0.03,10347.73,5.17
23,Exit long,2023-03-08 12:45,X-Long,137.218,1864033,254677236.7,7920.43,0.43,7976.38,0.43,-1849.67,-0.10,18268.16,9.13
23,Entry long,2023-03-08 10:30,Long,136.627,1864033,254677236.7,7920.43,0.43,7976.38,0.43,-1849.67,-0.10,18268.16,9.13
24,Exit long,2023-03-22 11:15,X-Long,132.561,2436825,323013337.9,-35.92,0.00,717.48,0.03,-2536.82,-0.10,18232.24,9.12
24,Entry long,2023-03-22 10:45,Long,132.555,2436825,323013337.9,-35.92,0.00,717.48,0.03,-2536.82,-0.10,18232.24,9.12
25,Exit long,2023-03-28 14:15,X-Long,130.646,2331246,304553977.4,-32.57,0.00,851.76,0.04,-1327.2,-0.06,18199.67,9.10
25,Entry long,2023-03-28 13:45,Long,130.64,2331246,304553977.4,-32.57,0.00,851.76,0.04,-1327.2,-0.06,18199.67,9.10
26,Exit long,2023-04-03 11:00,X-Long,132.338,2006542,265770501,-1841.75,-0.09,951.9,0.05,-2763.49,-0.14,16357.92,8.18
26,Entry long,2023-04-03 10:15,Long,132.452,2006542,265770501,-1841.75,-0.09,951.9,0.05,-2763.49,-0.14,16357.92,8.18
27,Exit long,2023-04-05 11:00,X-Long,130.827,1693597,221542810.8,91.86,0.01,4831.04,0.29,-821.17,-0.05,16449.78,8.22
27,Entry long,2023-04-05 10:15,Long,130.812,1693597,221542810.8,91.86,0.01,4831.04,0.29,-821.17,-0.05,16449.78,8.22
28,Exit long,2023-04-24 11:00,X-Long,134.395,2917209,392023297,85.6,0.00,1586.69,0.05,-1109.67,-0.04,16535.38,8.27
28,Entry long,2023-04-24 10:45,Long,134.383,2917209,392023297,85.6,0.00,1586.69,0.05,-1109.67,-0.04,16535.38,8.27
29,Exit long,2023-04-25 13:30,X-Long,133.6,2711754,362729638.5,-3433.47,-0.13,403.63,0.01,-3352.54,-0.12,13101.91,6.55
29,Entry long,2023-04-25 13:15,Long,133.762,2711754,362729638.5,-3433.47,-0.13,403.63,0.01,-3352.54,-0.12,13101.91,6.55
30,Exit long,2023-05-03 10:30,X-Long,135.281,2069104,279871145.2,164.78,0.01,1422.25,0.07,-500.48,-0.02,13266.69,6.63
30,Entry long,2023-05-03 10:15,Long,135.262,2069104,279871145.2,164.78,0.01,1422.25,0.07,-500.48,-0.02,13266.69,6.63
31,Exit long,2023-05-10 14:15,X-Long,134.263,2364345,317415680.6,68.96,0.00,856.14,0.04,-2482.92,-0.11,13335.65,6.67
31,Entry long,2023-05-10 13:15,Long,134.251,2364345,317415680.6,68.96,0.00,856.14,0.04,-2482.92,-0.11,13335.65,6.67
32,Exit long,2023-05-22 19:15,X-Long,138.634,2192974,303340935.6,4771.82,0.22,4837.61,0.22,-987.71,-0.04,18107.46,9.05
32,Entry long,2023-05-22 13:15,Long,138.324,2192974,303340935.6,4771.82,0.22,4837.61,0.22,-987.71,-0.04,18107.46,9.05
33,Exit long,2023-06-05 10:30,X-Long,139.346,2369713,330172112.3,129.32,0.01,1621.93,0.07,-1424.9,-0.06,18236.78,9.12
33,Entry long,2023-06-05 10:15,Long,139.33,2369713,330172112.3,129.32,0.01,1621.93,0.07,-1424.9,-0.06,18236.78,9.12
34,Exit long,2023-07-03 15:00,X-Long,144.729,2965805,427746191.9,10157.07,0.34,10246.29,0.35,-458.75,-0.02,28393.85,14.20
34,Entry long,2023-07-03 10:15,Long,144.226,2965805,427746191.9,10157.07,0.34,10246.29,0.35,-458.75,-0.02,28393.85,14.20
35,Exit long,2023-07-10 11:00,X-Long,141.634,2417221,342319586.4,144.54,0.01,3208.84,0.13,-1007.24,-0.04,28538.4,14.27
35,Entry long,2023-07-10 10:15,Long,141.617,2417221,342319586.4,144.54,0.01,3208.84,0.13,-1007.24,-0.04,28538.4,14.27
