Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
84,Entry long,2025-04-21 10:30,Long,140.603,2810808,395208037.2,6849.83,0.25,6933.42,0.25,-715.87,-0.03,88404.32,44.20
85,Exit long,2025-04-28 10:30,X-Long,142.794,3462780,495080582.2,-4495.94,-0.13,306.3,0.01,-4392.71,-0.13,83908.38,41.95
85,Entry long,2025-04-28 10:30,Long,142.972,3462780,495080582.2,-4495.94,-0.13,306.3,0.01,-4392.71,-0.13,83908.38,41.95
86,Exit long,2025-05-13 13:45,X-Long,147.569,2627606,387705892.9,161.89,0.01,3886.35,0.15,-467.74,-0.02,84070.27,42.04
86,Entry long,2025-05-13 12:45,Long,147.551,2627606,387705892.9,161.89,0.01,3886.35,0.15,-467.74,-0.02,84070.27,42.04
87,Exit long,2025-05-21 18:00,X-Long,143.792,2849374,408392227.3,9048.76,0.32,9134.28,0.32,-735.47,-0.03,93119.03,46.56
87,Entry long,2025-05-21 13:30,Long,143.327,2849374,408392227.3,9048.76,0.32,9134.28,0.32,-735.47,-0.03,93119.03,46.56
88,Exit long,2025-05-26 11:30,X-Long,142.815,5135169,733332944.2,15.53,0.00,1754.4,0.03,-2207.02,-0.04,93134.56,46.57
88,Entry long,2025-05-26 10:30,Long,142.806,5135169,733332944.2,15.53,0.00,1754.4,0.03,-2207.02,-0.04,93134.56,46.57
89,Exit long,2025-06-02 10:30,X-Long,142.627,3509213,500466412,83.86,0.00,2550.75,0.07,-932.37,-0.03,93218.42,46.61
89,Entry long,2025-06-02 10:15,Long,142.615,3509213,500466412,83.86,0.00,2550.75,0.07,-932.37,-0.03,93218.42,46.61
90,Exit long,2025-06-04 10:30,X-Long,143.236,2537138,363429795.7,-292.27,-0.01,893.02,0.04,-1467.1,-0.06,92926.15,46.46
90,Entry long,2025-06-04 10:15,Long,143.244,2537138,363429795.7,-292.27,-0.01,893.02,0.04,-1467.1,-0.06,92926.15,46.46
91,Exit long,2025-06-16 11:15,X-Long,144.132,3384455,486569557.5,8392.58,0.25,8494.12,0.25,-2825.52,-0.08,101318.72,50.66
91,Entry long,2025-06-16 10:15,Long,143.766,3384455,486569557.5,8392.58,0.25,8494.12,0.25,-2825.52,-0.08,101318.72,50.66
92,Exit long,2025-06-23 10:30,X-Long,146.789,2702206,396716267.3,-588.08,-0.02,1064.86,0.04,-3501.8,-0.13,100730.64,50.37
92,Entry long,2025-06-23 10:15,Long,146.812,2702206,396716267.3,-588.08,-0.02,1064.86,0.04,-3501.8,-0.13,100730.64,50.37
93,Exit long,2025-06-25 12:30,X-Long,145.43,3955468,575374241.7,-1138.34,-0.03,835.78,0.02,-1373.97,-0.03,99592.3,49.80
93,Entry long,2025-06-25 12:15,Long,145.463,3955468,575374241.7,-1138.34,-0.03,835.78,0.02,-1373.97,-0.03,99592.3,49.80
