Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
212,Entry long,2025-11-25 10:30,Long,46788,30.7,1436391.6,153.5,0.01,1762.18,0.12,-4058.54,-0.28,222252.28,111.13
213,Exit long,2025-11-26 02:30,Max Hold,47237.5,31.3,1466743.04,11790.71,0.80,12109.97,0.83,-6.26,0.00,234042.98,117.02
213,Entry long,2025-11-25 11:45,Long,46860.8,31.3,1466743.04,11790.71,0.80,12109.97,0.83,-6.26,0.00,234042.98,117.02
214,Exit long,2025-11-26 02:30,Max Hold,47237.5,109.8,5160676.86,26000.64,0.50,27120.6,0.53,-3875.94,-0.08,260043.62,130.02
214,Entry long,2025-11-25 14:00,Long Add,47000.7,109.8,5160676.86,26000.64,0.50,27120.6,0.53,-3875.94,-0.08,260043.62,130.02
215,Exit long,2025-11-28 11:15,Exit Long,47665.6,78.2,3726292.56,1157.36,0.03,5192.48,0.14,-15.64,0.00,261200.98,130.60
215,Entry long,2025-11-28 10:15,Long,47650.8,78.2,3726292.56,1157.36,0.03,5192.48,0.14,-15.64,0.00,261200.98,130.60
216,Exit long,2025-12-02 10:15,Exit Long,47342.9,62,2942352.6,-7092.8,-0.24,2672.2,0.09,-7502,-0.25,254108.19,127.05
216,Entry long,2025-12-02 10:00,Long,47457.3,62,2942352.6,-7092.8,-0.24,2672.2,0.09,-7502,-0.25,254108.19,127.05
217,Exit long,2025-12-05 10:30,Exit Long,47999.2,69.3,3330918.36,-4573.8,-0.14,1198.89,0.04,-4573.8,-0.14,249534.39,124.77
217,Entry long,2025-12-05 10:00,Long,48065.2,69.3,3330918.36,-4573.8,-0.14,1198.89,0.04,-4573.8,-0.14,249534.39,124.77
218,Exit long,2025-12-09 10:00,Exit Long,47845.3,77.2,3691179.04,2478.12,0.07,10105.48,0.27,-3257.84,-0.09,252012.52,126.01
