Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
195,Exit long,2026-01-26 11:30,Exit,5070.35,112.8,574269.312,-2333.83,-0.41,1581.46,0.28,-2333.83,-0.41,479749.7,239.87
195,Entry long,2026-01-26 11:00,Long,5091.04,112.8,574269.312,-2333.83,-0.41,1581.46,0.28,-2333.83,-0.41,479749.7,239.87
196,Exit long,2026-01-26 13:30,Exit,5065.74,97.7,497242.196,-2319.4,-0.47,1512.4,0.30,-2319.4,-0.47,477430.3,238.72
196,Entry long,2026-01-26 12:00,Long,5089.48,97.7,497242.196,-2319.4,-0.47,1512.4,0.30,-2319.4,-0.47,477430.3,238.72
197,Exit long,2026-01-27 10:00,Exit,5052.33,113.4,576001.692,-3067.47,-0.53,218.86,0.04,-3233.03,-0.56,474362.84,237.18
197,Entry long,2026-01-27 09:45,Long,5079.38,113.4,576001.692,-3067.47,-0.53,218.86,0.04,-3233.03,-0.56,474362.84,237.18
198,Exit long,2026-01-28 18:30,Exit,5527.51,96,487756.8,42884.16,8.79,42884.16,8.79,-444.48,-0.09,517247,258.62
198,Entry long,2026-01-27 10:45,Long,5080.8,96,487756.8,42884.16,8.79,42884.16,8.79,-444.48,-0.09,517247,258.62
199,Exit long,2026-01-29 09:45,Exit,5492.84,73.5,406163.205,-2439.46,-0.60,1737.54,0.43,-2439.46,-0.60,514807.53,257.40
199,Entry long,2026-01-29 08:45,Long,5526.03,73.5,406163.205,-2439.46,-0.60,1737.54,0.43,-2439.46,-0.60,514807.53,257.40
200,Exit long,2026-01-29 21:00,Exit,5283.32,34,182035.32,-2402.44,-1.32,3297.32,1.81,-2402.44,-1.32,512405.1,256.20
200,Entry long,2026-01-29 15:45,Long,5353.98,34,182035.32,-2402.44,-1.32,3297.32,1.81,-2402.44,-1.32,512405.1,256.20
201,Exit long,2026-02-12 11:00,Exit,5008.28,122.7,616884.066,-2368.11,-0.38,11207.42,1.82,-2368.11,-0.38,510036.97,255.02
201,Entry long,2026-02-10 15:00,Long,5027.58,122.7,616884.066,-2368.11,-0.38,11207.42,1.82,-2368.11,-0.38,510036.97,255.02
202,Exit long,2026-02-19 09:00,Exit,4978.41,157.3,785535.751,-2431.86,-0.31,729.87,0.09,-2431.86,-0.31,507605.12,253.80
