Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
19,Exit long,2022-05-31 12:45,Exit Long,33128.4,18.3,606171.03,78.69,0.01,1167.54,0.19,-1577.46,-0.26,9828.17,4.91
19,Entry long,2022-05-31 11:45,Long,33124.1,18.3,606171.03,78.69,0.01,1167.54,0.19,-1577.46,-0.26,9828.17,4.91
20,Exit long,2022-06-07 11:15,Exit Long,32961.8,22.4,738265.92,78.4,0.01,969.92,0.13,-754.88,-0.10,9906.57,4.95
20,Entry long,2022-06-07 10:30,Long,32958.3,22.4,738265.92,78.4,0.01,969.92,0.13,-754.88,-0.10,9906.57,4.95
21,Exit long,2022-06-21 11:00,Exit Long,30443.7,33.4,1016201.68,617.9,0.06,2832.32,0.28,-1643.28,-0.16,10524.47,5.26
21,Entry long,2022-06-21 09:45,Long,30425.2,33.4,1016201.68,617.9,0.06,2832.32,0.28,-1643.28,-0.16,10524.47,5.26
22,Exit long,2022-06-24 13:15,Exit Long,31356.4,26.7,837141.12,74.76,0.01,480.6,0.06,-1588.65,-0.19,10599.23,5.30
22,Entry long,2022-06-24 11:30,Long,31353.6,26.7,837141.12,74.76,0.01,480.6,0.06,-1588.65,-0.19,10599.23,5.30
23,Exit long,2022-07-15 11:15,Exit Long,31241.4,18.5,577886.35,79.55,0.01,921.3,0.16,-1391.2,-0.24,10678.78,5.34
23,Entry long,2022-07-15 10:15,Long,31237.1,18.5,577886.35,79.55,0.01,921.3,0.16,-1391.2,-0.24,10678.78,5.34
24,Exit long,2022-07-19 12:00,Exit Long,31546.1,30.4,956040.48,2960.96,0.31,5359.52,0.56,-705.28,-0.07,13639.74,6.82
24,Entry long,2022-07-19 10:00,Long,31448.7,30.4,956040.48,2960.96,0.31,5359.52,0.56,-705.28,-0.07,13639.74,6.82
25,Exit long,2022-07-19 12:00,Exit Long Add,31546.1,106.4,3357739.28,-1234.24,-0.04,4287.92,0.13,-1298.08,-0.04,12405.5,6.20
