Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
186,Entry long,2026-01-26 11:00,Long,5091.03,116.6,593614.098,-2410.12,-0.41,1635.9,0.28,-2410.12,-0.41,502898.8,251.45
187,Exit long,2026-01-26 13:30,Exit,5065.75,101.1,514545.417,-2398.09,-0.47,1566.04,0.30,-2398.09,-0.47,500500.72,250.25
187,Entry long,2026-01-26 12:00,Long,5089.47,101.1,514545.417,-2398.09,-0.47,1566.04,0.30,-2398.09,-0.47,500500.72,250.25
188,Exit long,2026-01-27 10:00,Exit,5052.34,117.2,595302.164,-3167.92,-0.53,227.37,0.04,-3340.2,-0.56,497332.8,248.67
188,Entry long,2026-01-27 09:45,Long,5079.37,117.2,595302.164,-3167.92,-0.53,227.37,0.04,-3340.2,-0.56,497332.8,248.67
189,Exit long,2026-01-28 18:30,Exit,5527.51,99.3,504522.447,44359.3,8.79,44359.3,8.79,-458.77,-0.09,541692.1,270.85
189,Entry long,2026-01-27 10:45,Long,5080.79,99.3,504522.447,44359.3,8.79,44359.3,8.79,-458.77,-0.09,541692.1,270.85
190,Exit long,2026-01-29 09:45,Exit,5492.85,76,419977.52,-2520.92,-0.60,1797.4,0.43,-2520.92,-0.60,539171.2,269.59
190,Entry long,2026-01-29 08:45,Long,5526.02,76,419977.52,-2520.92,-0.60,1797.4,0.43,-2520.92,-0.60,539171.2,269.59
191,Exit long,2026-01-29 21:00,Exit,5283.33,35.2,188459.744,-2486.53,-1.32,3414.05,1.81,-2486.53,-1.32,536684.6,268.34
191,Entry long,2026-01-29 15:45,Long,5353.97,35.2,188459.744,-2486.53,-1.32,3414.05,1.81,-2486.53,-1.32,536684.6,268.34
192,Exit long,2026-02-12 09:45,Exit,5051.46,179,906717.34,-2506,-0.28,3284.65,0.36,-2506,-0.28,534178.6,267.09
192,Entry long,2026-02-12 08:15,Long,5065.46,179,906717.34,-2506,-0.28,3284.65,0.36,-2506,-0.28,534178.6,267.09
193,Exit long,2026-02-12 11:00,Exit,5045.21,126.4,640195.776,-2481.23,-0.39,1260.21,0.20,-2481.23,-0.39,531697.44,265.85
193,Entry long,2026-02-12 10:15,Long,5064.84,126.4,640195.776,-2481.23,-0.39,1260.21,0.20,-2481.23,-0.39,531697.44,265.85
194,Exit long,2026-02-19 09:00,Exit,4978.42,162.1,809504.706,-2502.82,-0.31,753.77,0.09,-2502.82,-0.31,529194.56,264.60
194,Entry long,2026-02-19 08:45,Long,4993.86,162.1,809504.706,-2502.82,-0.31,753.77,0.09,-2502.82,-0.31,529194.56,264.60
195,Exit long,2026-03-01 18:00,Exit,5351.8,130.7,652523.671,46956.59,7.20,46956.59,7.20,-2246.73,-0.34,576151.2,288.08
195,Entry long,2026-02-19 09:45,Long,4992.53,130.7,652523.671,46956.59,7.20,46956.59,7.20,-2246.73,-0.34,576151.2,288.08
196,Exit long,2026-03-03 01:00,Exit,5297.18,78.8,420071.768,-2653.98,-0.63,3850.96,0.92,-2653.98,-0.63,573497.2,286.75
196,Entry long,2026-03-02 14:15,Long,5330.86,78.8,420071.768,-2653.98,-0.63,3850.96,0.92,-2653.98,-0.63,573497.2,286.75
197,Exit long,2026-03-12 09:15,Exit,5168.96,214,1108609.88,-2452.44,-0.22,1226.22,0.11,-2452.44,-0.22,571044.75,285.52
197,Entry long,2026-03-12 09:00,Long,5180.42,214,1108609.88,-2452.44,-0.22,1226.22,0.11,-2452.44,-0.22,571044.75,285.52
198,Exit long,2026-03-30 13:00,Exit,4522.78,100.7,458385.393,-2941.45,-0.64,490.41,0.11,-2941.45,-0.64,568103.3,284.05
198,Entry long,2026-03-30 11:45,Long,4551.99,100.7,458385.393,-2941.45,-0.64,490.41,0.11,-2941.45,-0.64,568103.3,284.05
199,Exit long,2026-04-05 18:45,Exit,4612.79,78,362424.66,-2627.04,-0.72,4153.5,1.15,-2627.04,-0.72,565476.25,282.74
199,Entry long,2026-04-02 10:00,Long,4646.47,78,362424.66,-2627.04,-0.72,4153.5,1.15,-2627.04,-0.72,565476.25,282.74
200,Exit long,2026-04-06 11:00,Exit,4664.15,118.6,555786.878,-2618.69,-0.47,1357.97,0.24,-2618.69,-0.47,562857.56,281.43
200,Entry long,2026-04-06 10:30,Long,4686.23,118.6,555786.878,-2618.69,-0.47,1357.97,0.24,-2618.69,-0.47,562857.56,281.43
201,Exit long,2026-04-20 18:00,Stale,4823.92,88.4,411355.256,15079.27,3.67,20871.24,5.07,-1123.56,-0.27,577936.9,288.97
201,Entry long,2026-04-07 11:30,Long,4653.34,88.4,411355.256,15079.27,3.67,20871.24,5.07,-1123.56,-0.27,577936.9,288.97
