Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
146,Exit long,2025-04-22 12:30,Exit Long,18342.4,31,568369.5,244.9,0.04,1546.9,0.27,-520.8,-0.09,320545.38,160.27
146,Entry long,2025-04-22 12:00,Long,18334.5,31,568369.5,244.9,0.04,1546.9,0.27,-520.8,-0.09,320545.38,160.27
147,Exit long,2025-05-06 12:15,Exit Long,19871.8,34.6,686765.02,799.26,0.12,2882.18,0.42,-2072.54,-0.30,321344.62,160.67
147,Entry long,2025-05-06 11:15,Long,19848.7,34.6,686765.02,799.26,0.12,2882.18,0.42,-2072.54,-0.30,321344.62,160.67
148,Exit long,2025-05-13 13:30,Max Hold,21245.2,40.7,856584.41,8095.23,0.95,9002.84,1.05,-358.16,-0.04,329439.88,164.72
148,Entry long,2025-05-13 09:45,Long,21046.3,40.7,856584.41,8095.23,0.95,9002.84,1.05,-358.16,-0.04,329439.88,164.72
149,Exit long,2025-05-13 13:30,Max Hold,21245.2,407.7,8642995.38,18672.66,0.22,27764.37,0.32,-10151.73,-0.12,348112.53,174.06
149,Entry long,2025-05-13 11:15,Long Add,21199.4,407.7,8642995.38,18672.66,0.22,27764.37,0.32,-10151.73,-0.12,348112.53,174.06
150,Exit long,2025-05-19 10:15,Exit Long,21313.5,41.6,885456,1185.6,0.13,4392.96,0.50,-378.56,-0.04,349298.12,174.65
150,Entry long,2025-05-19 09:45,Long,21285,41.6,885456,1185.6,0.13,4392.96,0.50,-378.56,-0.04,349298.12,174.65
151,Exit long,2025-05-20 13:30,Exit Long,21369.1,48.4,1035561.56,-1297.12,-0.13,392.04,0.04,-1297.12,-0.13,348001,174.00
151,Entry long,2025-05-20 12:30,Long,21395.9,48.4,1035561.56,-1297.12,-0.13,392.04,0.04,-1297.12,-0.13,348001,174.00
152,Exit long,2025-05-27 14:00,Max Hold,21427.1,44.6,950796.18,4852.48,0.51,5289.56,0.56,-883.08,-0.09,352853.5,176.43
152,Entry long,2025-05-27 10:15,Long,21318.3,44.6,950796.18,4852.48,0.51,5289.56,0.56,-883.08,-0.09,352853.5,176.43
153,Exit long,2025-05-27 14:00,Max Hold,21427.1,446.9,9560978.6,14792.39,0.15,19172.01,0.20,-6703.5,-0.07,367645.88,183.82
153,Entry long,2025-05-27 12:30,Long Add,21394,446.9,9560978.6,14792.39,0.15,19172.01,0.20,-6703.5,-0.07,367645.88,183.82
154,Exit long,2025-06-10 13:15,Exit Long,21877.5,52.1,1139557.25,260.5,0.02,1854.76,0.16,-338.65,-0.03,367906.38,183.95
154,Entry long,2025-06-10 12:00,Long,21872.5,52.1,1139557.25,260.5,0.02,1854.76,0.16,-338.65,-0.03,367906.38,183.95
155,Exit long,2025-07-14 14:30,Max Hold,22889,50,1141520,2930,0.26,3700,0.32,-320,-0.03,370836.38,185.42
155,Entry long,2025-07-14 10:45,Long,22830.4,50,1141520,2930,0.26,3700,0.32,-320,-0.03,370836.38,185.42
156,Exit long,2025-07-14 14:30,Max Hold,22889,500.8,11454497.92,8313.28,0.07,16025.6,0.14,-100.16,0.00,379149.66,189.57
156,Entry long,2025-07-14 12:45,Long Add,22872.4,500.8,11454497.92,8313.28,0.07,16025.6,0.14,-100.16,0.00,379149.66,189.57
157,Exit long,2025-07-21 10:45,Exit Long,23254.3,76.5,1777393.35,1560.6,0.09,3710.25,0.21,-15.3,0.00,380710.25,190.36
157,Entry long,2025-07-21 09:45,Long,23233.9,76.5,1777393.35,1560.6,0.09,3710.25,0.21,-15.3,0.00,380710.25,190.36
158,Exit long,2025-08-11 12:30,Exit Long,23665,68,1611572.8,-2352.8,-0.15,462.4,0.03,-2352.8,-0.15,378357.47,189.18
158,Entry long,2025-08-11 12:00,Long,23699.6,68,1611572.8,-2352.8,-0.15,462.4,0.03,-2352.8,-0.15,378357.47,189.18
159,Exit long,2025-08-12 14:45,Max Hold,23822.2,39.2,930615.84,3214.4,0.35,4202.24,0.45,-137.2,-0.01,381571.88,190.79
159,Entry long,2025-08-12 11:00,Long,23740.2,39.2,930615.84,3214.4,0.35,4202.24,0.45,-137.2,-0.01,381571.88,190.79
160,Exit long,2025-08-12 14:45,Max Hold,23822.2,392,9327561.6,10740.8,0.12,20619.2,0.22,-666.4,-0.01,392312.66,196.16
160,Entry long,2025-08-12 12:30,Long Add,23794.8,392,9327561.6,10740.8,0.12,20619.2,0.22,-666.4,-0.01,392312.66,196.16
161,Exit long,2025-08-25 12:30,Exit Long,23533.4,66.2,1557646.28,264.8,0.02,1966.14,0.13,-496.5,-0.03,392577.47,196.29
161,Entry long,2025-08-25 11:00,Long,23529.4,66.2,1557646.28,264.8,0.02,1966.14,0.13,-496.5,-0.03,392577.47,196.29
162,Exit long,2025-08-26 11:15,Exit Long,23454.4,68.3,1604332.85,-2397.33,-0.15,430.29,0.03,-2397.33,-0.15,390180.12,195.09
162,Entry long,2025-08-26 10:15,Long,23489.5,68.3,1604332.85,-2397.33,-0.15,430.29,0.03,-2397.33,-0.15,390180.12,195.09
163,Exit long,2025-09-15 10:15,Exit Long,24221.3,85.2,2066048.88,-2394.12,-0.12,349.32,0.02,-2394.12,-0.12,387786,193.89
163,Entry long,2025-09-15 09:45,Long,24249.4,85.2,2066048.88,-2394.12,-0.12,349.32,0.02,-2394.12,-0.12,387786,193.89
164,Exit long,2025-09-15 12:45,Exit Long,24254.8,81.9,1987606.53,-1138.41,-0.06,859.95,0.04,-1138.41,-0.06,386647.6,193.32
164,Entry long,2025-09-15 11:45,Long,24268.7,81.9,1987606.53,-1138.41,-0.06,859.95,0.04,-1138.41,-0.06,386647.6,193.32
165,Exit long,2025-09-22 11:15,Exit Long,24672.8,73.2,1807044.48,-995.52,-0.06,1405.44,0.08,-995.52,-0.06,385652.1,192.83
165,Entry long,2025-09-22 10:30,Long,24686.4,73.2,1807044.48,-995.52,-0.06,1405.44,0.08,-995.52,-0.06,385652.1,192.83
166,Exit long,2025-09-22 15:30,Exit Long,24766.8,74.4,1839354,3295.92,0.18,5364.24,0.29,-729.12,-0.04,388948,194.47
166,Entry long,2025-09-22 12:00,Long,24722.5,74.4,1839354,3295.92,0.18,5364.24,0.29,-729.12,-0.04,388948,194.47
167,Exit long,2025-09-22 15:30,Exit Long Add,24766.8,744.1,18427115.63,1860.25,0.01,22546.23,0.12,-9822.12,-0.05,390808.25,195.40
167,Entry long,2025-09-22 13:30,Long Add,24764.3,744.1,18427115.63,1860.25,0.01,22546.23,0.12,-9822.12,-0.05,390808.25,195.40
168,Exit long,2025-10-14 14:00,Max Hold,24732.9,25.7,630973.55,4661.98,0.74,5779.93,0.92,-1313.27,-0.21,395470.22,197.74
168,Entry long,2025-10-14 10:15,Long,24551.5,25.7,630973.55,4661.98,0.74,5779.93,0.92,-1313.27,-0.21,395470.22,197.74
169,Exit long,2025-10-14 14:00,Max Hold,24732.9,257.1,6350472.84,8355.75,0.13,19539.6,0.31,-2956.65,-0.05,403825.97,201.91
169,Entry long,2025-10-14 12:15,Long Add,24700.4,257.1,6350472.84,8355.75,0.13,19539.6,0.31,-2956.65,-0.05,403825.97,201.91
170,Exit long,2025-10-21 12:45,Exit Long,25156.3,52.4,1319112.36,-922.24,-0.07,1273.32,0.10,-922.24,-0.07,402903.75,201.45
170,Entry long,2025-10-21 11:45,Long,25173.9,52.4,1319112.36,-922.24,-0.07,1273.32,0.10,-922.24,-0.07,402903.75,201.45
171,Exit long,2025-10-28 15:30,Exit Long,26070.3,65.3,1697140.47,5250.12,0.31,7418.08,0.44,-920.73,-0.05,408153.88,204.08
171,Entry long,2025-10-28 12:30,Long,25989.9,65.3,1697140.47,5250.12,0.31,7418.08,0.44,-920.73,-0.05,408153.88,204.08
172,Exit long,2025-10-28 15:30,Exit Long Add,26070.3,653.3,17005464.33,26262.66,0.15,47952.22,0.28,-1241.27,-0.01,434416.53,217.21
172,Entry long,2025-10-28 14:00,Long Add,26030.1,653.3,17005464.33,26262.66,0.15,47952.22,0.28,-1241.27,-0.01,434416.53,217.21
173,Exit long,2025-11-04 10:45,Exit Long,25703.8,40.1,1033272.74,-2550.36,-0.25,677.69,0.07,-2550.36,-0.25,431866.16,215.93
173,Entry long,2025-11-04 09:45,Long,25767.4,40.1,1033272.74,-2550.36,-0.25,677.69,0.07,-2550.36,-0.25,431866.16,215.93
174,Exit long,2025-12-01 11:15,Exit Long,25300.1,36,913348.8,-2545.2,-0.28,183.6,0.02,-2545.2,-0.28,429320.97,214.66
174,Entry long,2025-12-01 10:45,Long,25370.8,36,913348.8,-2545.2,-0.28,183.6,0.02,-2545.2,-0.28,429320.97,214.66
175,Exit long,2025-12-01 14:00,Exit Long,25396.1,34.9,885800.39,523.5,0.06,2505.82,0.28,-303.63,-0.03,429844.47,214.92
175,Entry long,2025-12-01 11:30,Long,25381.1,34.9,885800.39,523.5,0.06,2505.82,0.28,-303.63,-0.03,429844.47,214.92
176,Exit long,2025-12-09 12:15,Exit Long,25672.5,59.3,1522088.68,290.57,0.02,2342.35,0.15,-1452.85,-0.10,430135.03,215.07
176,Entry long,2025-12-09 11:00,Long,25667.6,59.3,1522088.68,290.57,0.02,2342.35,0.15,-1452.85,-0.10,430135.03,215.07
