analysis,panel_id,pass_rate,bust_rate,bust_inactivity_rate,horizon_cap_rate,p99_dd,p95_dd,half_id,n_bdays,n_blocks
bootstrap,0.0,0.9972333333333334,0.002766666666666667,0.0,0.0,0.04586236442857538,0.03562276196311687,,,
bootstrap,1.0,0.9993,0.0007000000000000001,0.0,0.0,0.038358473159803466,0.030628530684436505,,,
bootstrap,2.0,0.9996999999999999,0.0003,0.0,0.0,0.038746896408605805,0.030929644816584886,,,
bootstrap,3.0,0.9987333333333334,0.0012666666666666668,0.0,0.0,0.04214566674575676,0.032840893225976185,,,
bootstrap,4.0,0.9982000000000001,0.0017999999999999997,0.0,0.0,0.04408239188751885,0.03460488203920843,,,
bootstrap,5.0,0.9991333333333333,0.0008666666666666666,0.0,0.0,0.04117752883105221,0.032215613638569764,,,
bootstrap,6.0,0.9935333333333333,0.006466666666666667,0.0,0.0,0.04953053233222536,0.039690211269300495,,,
bootstrap,7.0,0.9912333333333333,0.008766666666666667,0.0,0.0,0.049977319697247044,0.04083198838948854,,,
bootstrap,8.0,0.9996333333333333,0.00036666666666666667,0.0,0.0,0.037698473895206114,0.029966107269495796,,,
bootstrap,9.0,0.9995666666666668,0.0004333333333333333,0.0,0.0,0.038375275249271715,0.03049207466511785,,,
bootstrap,10.0,0.9986333333333333,0.0013666666666666664,0.0,0.0,0.04199984557751494,0.03278153408780433,,,
bootstrap,11.0,0.9989666666666667,0.0010333333333333334,0.0,0.0,0.040957511678373144,0.031481177739052374,,,
bootstrap,12.0,0.9995333333333334,0.00046666666666666666,0.0,0.0,0.03775816081423062,0.029877803155202096,,,
bootstrap,13.0,0.9993000000000002,0.0007000000000000001,0.0,0.0,0.040604854522599564,0.03171127658526556,,,
bootstrap,14.0,0.9974666666666666,0.002533333333333333,0.0,0.0,0.04480299803367358,0.03567875966356454,,,
bootstrap,15.0,0.9963000000000001,0.0037,0.0,0.0,0.047678494087932906,0.037467288351925636,,,
bootstrap,16.0,0.9986333333333333,0.0013666666666666669,0.0,0.0,0.04390191068041747,0.034630531412680535,,,
bootstrap,17.0,0.9977,0.0023,0.0,0.0,0.045695862559797254,0.035984914848150584,,,
bootstrap,18.0,0.9960666666666667,0.003933333333333334,0.0,0.0,0.04794675893218238,0.03713070845280943,,,
bootstrap,19.0,0.9997000000000001,0.0003,0.0,0.0,0.03727878117578109,0.03003578717260082,,,
bootstrap,20.0,0.9996666666666667,0.0003333333333333333,0.0,0.0,0.04001606698493219,0.031113741396252424,,,
bootstrap,21.0,0.9980666666666668,0.0019333333333333331,0.0,0.0,0.04336043476077604,0.03354112560184093,,,
bootstrap,22.0,0.9995666666666668,0.0004333333333333333,0.0,0.0,0.0390911135938345,0.030239284560666328,,,
bootstrap,23.0,0.9989,0.0011,0.0,0.0,0.04062042478740479,0.03184657734532208,,,
bootstrap,24.0,0.9964,0.0036000000000000003,0.0,0.0,0.04790184845970721,0.03762842289953341,,,
bootstrap,25.0,0.9872333333333333,0.012766666666666667,0.0,0.0,0.05185680927888909,0.04330262165118043,,,
bootstrap,26.0,0.996,0.004,0.0,0.0,0.04802270062033945,0.0373562517232037,,,
bootstrap,27.0,0.9988666666666667,0.0011333333333333332,0.0,0.0,0.04136877451716051,0.03224506835175412,,,
