month,n_bars,atr14_mean,atr14_median,atr14_p95,ret_std,ret_p99_abs,range_exp_freq,n_session_opens,gap_abs_mean,gap_abs_max,session_gap_n,session_gap_mean,session_gap_p95,session_gap_max,instrument,feed,panel_window,canonical_status
2022-01,1920,61.73244342479204,53.00834030851243,139.0292901667029,0.0013992599728573788,0.004829834534525945,0.13333333333333333,5,1.5222635494154968,65.0,5,33.7,55.3,57.5,US30USD,OANDA,2022-01-02_2026-04-19,PROXY
2022-02,1824,63.99370529832178,59.99890797515701,116.16896632518632,0.0013638795827628518,0.00492848655654711,0.14583333333333334,5,1.7134477033757594,492.09999999999854,5,175.47999999999882,421.67999999999876,492.09999999999854,US30USD,OANDA,2022-01-02_2026-04-19,PROXY
2022-03,2120,61.79380124847435,56.982053796203814,109.3131040610038,0.0013438898211224266,0.00461848008033182,0.1268867924528302,4,1.2073985680190862,175.5,4,87.89999999999964,165.31499999999977,175.5,US30USD,OANDA,2022-01-02_2026-04-19,PROXY
2022-04,1832,50.83541613956592,45.84495585165928,93.5869976966719,0.001156886189778665,0.00431008768538002,0.13864628820960698,4,1.3106204583566303,84.0,4,27.75,66.89999999999998,75.0,US30USD,OANDA,2022-01-02_2026-04-19,PROXY
2022-05,1982,69.28987390724565,61.61771760455837,131.11912967269208,0.0016824370186583767,0.005481853412211412,0.1432896064581231,8,1.8346876587100291,979.0,8,162.11250000000064,675.165,979.0,US30USD,OANDA,2022-01-02_2026-04-19,PROXY
2022-06,2009,60.43203622175657,54.82913680103168,106.59547376979727,0.0014906859545141564,0.0053187723523402805,0.12742658038825286,5,1.3517382413087766,245.0,5,69.55999999999986,205.09999999999997,245.0,US30USD,OANDA,2022-01-02_2026-04-19,PROXY
2022-07,1917,48.7142540859757,44.271861388729654,84.49852846751416,0.0012040754536923207,0.003643212101094815,0.13145539906103287,6,1.4235294117647204,65.5,6,25.066666666666908,62.875,65.5,US30USD,OANDA,2022-01-02_2026-04-19,PROXY
2022-08,2112,38.52364663435692,34.935381768190965,71.08437029175111,0.0009217716519550447,0.003274358710250719,0.1387310606060606,4,1.6706870983687787,74.90000000000146,4,33.975000000000364,70.34000000000123,74.90000000000146,US30USD,OANDA,2022-01-02_2026-04-19,PROXY
2022-09,2001,56.69693424732386,51.83299578577947,97.14338824977233,0.00156214933780065,0.005221658833210614,0.14042978510744628,5,1.4559517566858693,106.5,5,48.1,100.69999999999999,106.5,US30USD,OANDA,2022-01-02_2026-04-19,PROXY
2022-10,1940,62.03633822372232,58.645681908391765,98.24054406999821,0.0016208045126999925,0.005483977301438947,0.11494845360824742,5,1.6234248788368262,90.5,5,54.8,83.0,88.0,US30USD,OANDA,2022-01-02_2026-04-19,PROXY
2022-11,1991,46.52665501945596,41.55796157061643,93.11162585237889,0.0012422722321674576,0.004798848807217541,0.13058764439979909,5,1.7728103170338434,199.5,5,81.36000000000058,179.54000000000084,199.5,US30USD,OANDA,2022-01-02_2026-04-19,PROXY
