exit_reason,pnl_price,bars_held,atr_at_entry,mfe_price,mae_price,mfe_R,mae_R,sim_R,sim_pnl_pct,timestamp_utc,block_TueH08,block_MonH08,block_MonH09,block_MonH12,block_TueH12,block_ThuH12,block_day,block_session,block_hour,strategy,block_TueH08_cohort_n,block_MonH08_cohort_n,block_MonH09_cohort_n,block_MonH12_cohort_n,block_TueH12_cohort_n,block_ThuH12_cohort_n,block_day_cohort_n,block_session_cohort_n,block_hour_cohort_n,thin_cohort_any,feed,panel_window,canonical_status,simulation_simplifications
stop,-2.1907896151637942,2,1.4134126549443256,4.670000000000073,2.959999999999809,2.1316515139912746,1.3511110238573165,-1.0000000000000409,-0.3400000000000139,2022-01-05T12:45:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.2087370987994746,5,1.42499167664485,1.8900000000001,2.584999999999809,0.8556926041706566,1.1703520538523104,-0.9999999999999805,-0.33999999999999336,2022-01-11T12:15:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.222854947434371,3,1.4340999660866263,1.625,2.849999999999909,0.7310418531248093,1.2821349424034707,-1.0000000000000449,-0.3400000000000153,2022-01-11T12:45:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.1754177109271495,24,1.4034952973723145,1.8700000000001182,3.324999999999818,0.8596050269367299,1.5284420933498877,-1.0000000000000286,-0.34000000000000974,2022-01-12T01:30:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.1060206282993477,7,1.358722985999603,0.07999999999992724,2.1200000000001182,0.03798633257667916,1.0066378132829694,-0.9999999999999822,-0.339999999999994,2022-01-12T02:00:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-1.597177740048437,10,1.0304372516441402,2.25,2.9449999999999363,1.4087348850302612,1.8438774384062355,-1.0000000000000122,-0.3400000000000042,2022-01-12T05:00:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.189894469860519,115,1.4128351418454976,10.200000000000045,3.650000000000091,4.657758691289678,1.6667469826674188,-0.999999999999999,-0.3399999999999997,2022-01-12T10:00:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.0767205709519203,111,1.3398197231947289,10.269999999999982,3.5800000000001546,4.945296995489818,1.7238717861591375,-1.0000000000000435,-0.34000000000001485,2022-01-12T11:00:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-1.9775940404304038,106,1.2758671228583005,10.445000000000164,3.4049999999999727,5.281670447250697,1.7217891692568883,-1.000000000000019,-0.3400000000000065,2022-01-12T12:15:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-1.6812572720311891,2,1.0846821109879157,0.09000000000014552,2.0449999999998454,0.05353136697003481,1.2163516161503989,-0.9999999999999524,-0.3399999999999838,2022-01-13T01:30:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
