month,atr14_mean,atr14_median,ret_std,range_exp_freq,session_gap_p95,n_trades,n_wins,gross_profit_R,gross_loss_R,mean_R,sum_R,win_rate,pf,n_trades_filled,year
2022-01,0.0619134165580293,0.0614030157004826,0.000369112957514,0.1195652173913043,0.0715999999999993,2.0,0.0,0.0,0.07333333333333333,-0.03666666666666667,-0.07333333333333333,0.0,0.0,2.0,2022
2022-02,0.0612532820514437,0.0569415847731331,0.000387769411919,0.115625,0.1210000000000086,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,,1.0,2022
2022-03,0.0862639694742895,0.0717887519295379,0.0005546473577976,0.1279385171790235,0.0930000000000021,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,,1.0,2022
2022-04,0.1102966365854352,0.1042407208837625,0.000650464686718,0.1297405189620758,0.1977500000000034,2.0,2.0,0.013333333333333334,-0.0,0.006666666666666667,0.013333333333333334,1.0,,2.0,2022
2022-05,0.111172951094988,0.1093156015475249,0.0006694578778059,0.1273071462375769,0.698249999999998,2.0,0.0,0.0,0.02,-0.01,-0.02,0.0,0.0,2.0,2022
2022-06,0.1290916861747278,0.1205583195705487,0.0007086697263856,0.1305792972459639,0.0693500000000113,,,,,,,,,0.0,2022
2022-07,0.1157403223229472,0.1100725019828344,0.0006273775985749,0.1269841269841269,0.0743999999999971,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,,1.0,2022
2022-08,0.1268270327574533,0.1190652908746041,0.0007890029668601,0.1281818181818181,0.3712000000000058,,,,,,,,,0.0,2022
2022-09,0.1423422011198714,0.1240982679952761,0.0008952950622841,0.1214285714285714,0.4374499999999869,2.0,2.0,0.013333333333333334,-0.0,0.006666666666666667,0.013333333333333334,1.0,,2.0,2022
2022-10,0.1184940761824924,0.096330027562733,0.0009529788463607,0.1183431952662721,0.2384000000000184,4.0,1.0,0.10666666666666667,0.14666666666666667,-0.009999999999999998,-0.039999999999999994,0.25,0.7272727272727273,4.0,2022
2022-11,0.1631278382867717,0.1505566475948351,0.0009300748059589,0.1176470588235294,0.3988000000000027,2.0,0.0,0.0,0.16666666666666666,-0.08333333333333333,-0.16666666666666666,0.0,0.0,2.0,2022
2022-12,0.1550718849936938,0.1415461820330179,0.0011051968464708,0.1215139442231075,0.699400000000004,1.0,1.0,0.006666666666666667,-0.0,0.006666666666666667,0.006666666666666667,1.0,,1.0,2022
2023-01,0.1546082491931048,0.1505721986048206,0.0008890766786263,0.1148393194706994,0.254000000000002,2.0,2.0,0.14666666666666664,-0.0,0.07333333333333332,0.14666666666666664,1.0,,2.0,2023
2023-02,0.1230983674755136,0.1128236916197029,0.0007162474961523,0.115625,1.0073000000000216,1.0,1.0,0.27999999999999997,-0.0,0.27999999999999997,0.27999999999999997,1.0,,1.0,2023
2023-03,0.1521836822111339,0.1371895680270729,0.0008410591992835,0.1063636363636363,0.5915000000000076,4.0,2.0,0.4733333333333334,-0.0,0.11833333333333333,0.47333333333333333,0.5,,4.0,2023
2023-04,0.1065616087462717,0.0994759537488909,0.0006518082163362,0.1262939958592132,0.4095999999999889,4.0,1.0,0.006666666666666667,0.15333333333333332,-0.03666666666666667,-0.14666666666666667,0.25,0.04347826086956522,4.0,2023
2023-05,0.1021366342785406,0.0953438855382787,0.0005861231055634,0.1222826086956521,0.0531999999999953,3.0,2.0,0.15333333333333332,-0.0,0.05111111111111111,0.15333333333333332,0.6666666666666666,,3.0,2023
2023-06,0.1004897521710171,0.0935506939429497,0.0005181081506282,0.1219047619047619,0.1347999999999828,1.0,1.0,0.006666666666666667,-0.0,0.006666666666666667,0.006666666666666667,1.0,,1.0,2023
2023-07,0.1255056804203031,0.1152100643219991,0.0007332749393811,0.1356015779092702,0.1542000000000143,3.0,3.0,0.24666666666666662,-0.0,0.08222222222222221,0.24666666666666665,1.0,,3.0,2023
2023-08,0.0957268438028119,0.0902042146442882,0.000480703939964,0.1263586956521739,0.0800000000000125,1.0,0.0,0.0,0.10666666666666667,-0.10666666666666667,-0.10666666666666667,0.0,0.0,1.0,2023
2023-09,0.0806897507450862,0.0741076910732648,0.0004142985533229,0.122754491017964,0.6804999999999906,3.0,1.0,0.24,-0.0,0.08,0.24,0.3333333333333333,,3.0,2023
2023-10,0.0694102817809109,0.0626364787427666,0.0003651091812338,0.1082862523540489,0.2426000000000158,,,,,,,,,0.0,2023
2023-11,0.0910090033158562,0.0832036624426796,0.0004877936406723,0.1309297912713472,0.0401999999999901,3.0,1.0,0.11333333333333334,-0.0,0.03777777777777778,0.11333333333333334,0.3333333333333333,,3.0,2023
2023-12,0.1403591590577371,0.1215847301321907,0.0007287044638009,0.1129707112970711,0.1084000000000074,1.0,0.0,0.0,0.06666666666666667,-0.06666666666666667,-0.06666666666666667,0.0,0.0,1.0,2023
2024-01,0.1167648114928173,0.1075977960294354,0.0006058240575353,0.120754716981132,0.1659999999999968,2.0,1.0,0.08,0.06,0.010000000000000002,0.020000000000000004,0.5,1.3333333333333335,2.0,2024
2024-02,0.0792889847417041,0.0713085757139262,0.0004192640469794,0.1106150793650793,0.0745000000000075,2.0,1.0,0.16666666666666666,-0.0,0.08333333333333333,0.16666666666666666,0.5,,2.0,2024
2024-03,0.0882919743974906,0.080494643262318,0.0004420532868608,0.1202970297029702,0.0641999999999995,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,,1.0,2024
