trade_id,entry_utc,exit_utc,entry_price,exit_price,exit_signal,entry_atr,hold_bars,mfe_price,mae_price,mfe_atr,mae_atr,mfe_R,mae_R,time_to_mfe_bars,time_to_mae_bars,net_pnl_pct,net_pnl_R,feed,panel_window,canonical_status,strategy
1,2022-01-12T15:15:00+00:00,2022-01-12T15:15:00+00:00,115.064,114.945,X-Long,0.08764139643855247,0,-0.001999999999995339,0.2179999999999893,-0.022820266235689064,2.487409019695783,0.006666666666666667,0.07333333333333333,0,0,-0.11,-0.07333333333333333,OANDA,2022-01-02_2026-04-19,PROXY,aegis
2,2022-01-19T15:15:00+00:00,2022-01-19T16:15:00+00:00,114.248,114.254,X-Long,0.07300503584926145,4,0.1389999999999958,0.028000000000005798,1.9039782445556046,0.383535185953738,0.08,0.02,1,0,0.0,0.0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
3,2022-02-28T15:15:00+00:00,2022-02-28T15:45:00+00:00,115.2,115.206,X-Long,0.07436564268231942,2,0.2259999999999991,0.05100000000000193,3.0390378116604517,0.6858005681180953,0.12666666666666668,0.02666666666666667,2,2,0.0,0.0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
4,2022-03-01T18:15:00+00:00,2022-03-01T19:15:00+00:00,114.788,114.795,X-Long,0.0764804438841462,4,0.04000000000000625,0.08799999999999386,0.5230095167935858,1.1506209369456286,0.013333333333333334,0.05333333333333334,4,1,0.0,0.0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
5,2022-04-13T16:15:00+00:00,2022-04-13T23:30:00+00:00,125.392,125.407,X-Long,0.12903904071413735,29,0.31799999999999784,0.01999999999999602,2.464370459049438,0.15499185277037514,0.16666666666666666,0.013333333333333334,14,0,0.01,0.006666666666666667,OANDA,2022-01-02_2026-04-19,PROXY,aegis
6,2022-04-25T14:15:00+00:00,2022-04-25T15:15:00+00:00,127.716,127.735,X-Long,0.1658219733100171,4,0.29999999999999716,0.08099999999998886,1.8091691590180499,0.4884756729348109,0.15333333333333335,0.02666666666666667,2,4,0.01,0.006666666666666667,OANDA,2022-01-02_2026-04-19,PROXY,aegis
7,2022-05-09T14:45:00+00:00,2022-05-09T15:00:00+00:00,130.529,130.534,X-Long,0.12630658419902907,1,0.10499999999998977,0.2009999999999934,0.8313105818342359,1.591365970939926,0.05333333333333334,0.02666666666666667,0,1,0.0,0.0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
8,2022-05-11T17:15:00+00:00,2022-05-11T17:30:00+00:00,129.688,129.658,X-Long,0.16764085105357995,1,0.0700000000000216,0.24399999999999977,0.41755932137119006,1.4554924916362693,0.03333333333333333,0.02666666666666667,0,1,-0.03,-0.02,OANDA,2022-01-02_2026-04-19,PROXY,aegis
9,2022-07-18T14:30:00+00:00,2022-07-18T14:45:00+00:00,138.088,138.098,X-Long,0.10367766310630495,1,0.04099999999999682,0.11599999999998545,0.3954564442483415,1.1188523788489126,0.013333333333333334,0.02,1,1,0.0,0.0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
10,2022-09-07T14:45:00+00:00,2022-09-07T15:45:00+00:00,144.338,144.363,X-Long,0.1964426335423994,4,0.23500000000001364,0.04099999999999682,1.1962779960862833,0.2087123312320466,0.10666666666666667,0.02666666666666667,1,0,0.01,0.006666666666666667,OANDA,2022-01-02_2026-04-19,PROXY,aegis
