stage,stage_idx,count,rate_vs_universe,rate_vs_prev_stage,strategy,feed,panel_window,canonical_status
universe,0,106820,1.0,1.0,aegis,OANDA,2022-01-02_2026-04-19,PROXY
signal_raw,1,8055,0.0754072271110279,0.0754072271110279,aegis,OANDA,2022-01-02_2026-04-19,PROXY
in_session,2,907,0.008490919303501217,0.11260086902545004,aegis,OANDA,2022-01-02_2026-04-19,PROXY
hour_pass,3,587,0.005495225613181052,0.6471885336273429,aegis,OANDA,2022-01-02_2026-04-19,PROXY
day_pass,4,336,0.003145478374836173,0.5724020442930153,aegis,OANDA,2022-01-02_2026-04-19,PROXY
vol_pass,5,317,0.0029676090619734133,0.9434523809523809,aegis,OANDA,2022-01-02_2026-04-19,PROXY
not_block_TueH10,6,239,0.002237408724957873,0.7539432176656151,aegis,OANDA,2022-01-02_2026-04-19,PROXY
not_block_EOM,7,215,0.002012731698183861,0.899581589958159,aegis,OANDA,2022-01-02_2026-04-19,PROXY
