utc_window,ret_XAUUSD,ret_US30USD,ret_USDJPY,sigma_threshold,feed,panel_window,canonical_status,threshold_sigma,long_only_universe
2022-05-18 01:30:00+00:00,-0.0012928214385693449,-0.0017181607638558785,-0.0007893698607489672,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-05-24 14:00:00+00:00,-0.0027774891246725732,-0.005015063580458052,-0.0019197730610254575,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-06-13 12:45:00+00:00,-0.0012558714718758056,-0.0015745708490309859,-0.0009544546911231447,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-06-16 07:30:00+00:00,-0.0009792230456747199,-0.004198145101072022,-0.00115290078857329,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-06-27 12:15:00+00:00,-0.0013948621662174892,-0.0016158163386296163,-0.0011962342205515419,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-07-05 13:30:00+00:00,-0.0025200986212164113,-0.005037134910428749,-0.0013110795449335344,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-07-06 01:15:00+00:00,-0.0015731022583052024,-0.00201543081531552,-0.0009458361748502004,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-07-06 08:30:00+00:00,-0.0020706108060192835,-0.0015858378325517095,-0.000836111170097021,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-08-05 15:00:00+00:00,-0.0009565986335476,-0.001670578328941135,-0.0007467238762589673,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-12-30 18:15:00+00:00,-0.0015316250568408742,-0.003248283847629403,-0.0015884898942829047,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-02-02 16:00:00+00:00,-0.0015638966547588745,-0.0018662817849741608,-0.0012466886451854623,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-03-13 12:30:00+00:00,-0.0009198165759535761,-0.004489416329405106,-0.0017027949534553306,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-03-22 19:00:00+00:00,-0.0035094576544084087,-0.003421283080781476,-0.0010201984942352189,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-03-24 08:30:00+00:00,-0.001730154344774257,-0.003946993790156004,-0.0018446219145064522,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-06-20 13:15:00+00:00,-0.0014097813308284347,-0.002151057700730185,-0.0006500848165631849,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-07-19 14:30:00+00:00,-0.0013941029179281924,-0.00105206598479805,-0.0006718749135932036,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-08-08 12:00:00+00:00,-0.0017928056494938345,-0.0013484455887372323,-0.0006849554697290988,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-08-23 07:30:00+00:00,-0.0009510349131845777,-0.001438943279221772,-0.0007761389197418751,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-10-03 14:00:00+00:00,-0.0026824858078828232,-0.005298518962047387,-0.006290759974400284,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-11-29 16:00:00+00:00,-0.0008005984104721811,-0.0009705506379200559,-0.0005632751544392586,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-12-07 14:30:00+00:00,-0.0016957103094923335,-0.0016631006239263874,-0.0006840819921347705,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2023-12-20 19:45:00+00:00,-0.0009319355794788095,-0.004858317796957689,-0.0006742971403218491,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-02-01 14:45:00+00:00,-0.0014138281562912493,-0.0014669673087083534,-0.0006829295209019624,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-04-04 19:30:00+00:00,-0.003695369065231301,-0.0006729893404009917,-0.0007341440111739675,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-04-09 14:30:00+00:00,-0.006222039308505521,-0.00523124751873292,-0.0007253449003165297,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-04-15 09:00:00+00:00,-0.0010444664970626553,-0.000708700509216383,-0.00054607154894074,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-04-16 13:30:00+00:00,-0.001312529373271758,-0.0027538970528984256,-0.0019925222340848136,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-04-17 06:00:00+00:00,-0.0011130434468013368,-0.0009385265822643885,-0.0007116747300019763,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-04-25 13:00:00+00:00,-0.004726331491143541,-0.0010255494161782123,-0.0014656161424256068,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-05-31 13:45:00+00:00,-0.0020228604945438993,-0.0026711795777756694,-0.0007208724782602153,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-06-04 14:45:00+00:00,-0.001166439871410422,-0.0028775058675248647,-0.0008518877572304109,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-07-17 16:00:00+00:00,-0.0013912120307997256,-0.000728059946637551,-0.0006644773236043084,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-07-24 07:30:00+00:00,-0.0009751664611600304,-0.0010684558104292207,-0.0007691686571343446,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-07-25 07:00:00+00:00,-0.0021670263997299612,-0.0018781699629878876,-0.0008508522124956691,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-01 07:45:00+00:00,-0.001030042306420406,-0.0017744626505937313,-0.0010270844379241218,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-01 14:00:00+00:00,-0.0011173117177229576,-0.00405348004435186,-0.002327484641941215,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-01 15:00:00+00:00,-0.0009479119070054861,-0.0026602730352701235,-0.0008133876040152104,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-01 17:00:00+00:00,-0.002395946469471312,-0.0010769899918107737,-0.0009210623569588606,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-02 13:30:00+00:00,-0.0011644184295684602,-0.0012112416706454908,-0.0017555458391783005,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-02 14:30:00+00:00,-0.01135396294553436,-0.0018093149251410738,-0.0017575774486194295,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-05 00:00:00+00:00,-0.0022453832991931075,-0.0011906572820722838,-0.0015053152834427145,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-05 05:30:00+00:00,-0.0017092779035389383,-0.002053909487921792,-0.0013292757405610357,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-05 05:45:00+00:00,-0.0009715982529438852,-0.0032161112808211526,-0.0012889849628439692,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-05 11:45:00+00:00,-0.001170319249661585,-0.00208427222446536,-0.002119879216741169,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-05 14:15:00+00:00,-0.00134353772383923,-0.005515323228322246,-0.0010897051889305236,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-05 16:30:00+00:00,-0.001178555418870232,-0.003336244946382011,-0.003335204691407037,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-06 01:30:00+00:00,-0.001304483050704894,-0.0018702608444031384,-0.00393919938714326,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-06 02:00:00+00:00,-0.0011011355664741216,-0.0008837600078249137,-0.0027522509057780475,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-06 06:30:00+00:00,-0.00150953468053603,-0.0016629148326501846,-0.0014268664870948533,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-06 12:15:00+00:00,-0.0032262951072649215,-0.0008089109034156798,-0.0022219317858641896,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-06 12:30:00+00:00,-0.00334738462288824,-0.001516865778297738,-0.0008984540284941476,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-06 19:30:00+00:00,-0.0013375352207389037,-0.0018598020723136484,-0.0010276607141419068,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-07 17:45:00+00:00,-0.0012921005956217525,-0.0023436809579118253,-0.0013796620997389086,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
