utc,XAUUSD__US30USD,XAUUSD__USDJPY,US30USD__USDJPY,feed,panel_window,canonical_status,window_days
2022-03-09 00:00:00+00:00,-0.14208857313967108,-0.30213686822766916,0.21042579311118678,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-10 00:00:00+00:00,-0.14761168595523977,-0.29765414338112023,0.2121324332235769,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-11 00:00:00+00:00,-0.15117198044083266,-0.29327054647697703,0.20666941623890445,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-13 00:00:00+00:00,-0.15192076662743112,-0.29583596367008747,0.20747717448678835,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-14 00:00:00+00:00,-0.15513425922472832,-0.2932268104979591,0.20554334886397474,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-15 00:00:00+00:00,-0.15477898559321457,-0.294006542853903,0.20836007245954424,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-16 00:00:00+00:00,-0.15271625648840842,-0.29451630381050514,0.19060623377580202,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-17 00:00:00+00:00,-0.1528222543104084,-0.2958355015830114,0.18855800820326965,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-18 00:00:00+00:00,-0.15420812523506794,-0.29590475579691594,0.1843338914147849,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-20 00:00:00+00:00,-0.15408109428240135,-0.29588575773782044,0.18418549637541287,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-21 00:00:00+00:00,-0.15330103570884732,-0.29525763458908105,0.1797196767054544,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-22 00:00:00+00:00,-0.1538437376175895,-0.29372447143741665,0.17440768593982484,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-23 00:00:00+00:00,-0.15365988957491658,-0.2915075329567331,0.17246509919915232,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-24 00:00:00+00:00,-0.1531391254956448,-0.29116692144063766,0.17136239340201523,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-25 00:00:00+00:00,-0.1532478271461494,-0.29248445438573356,0.16881356380690113,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-27 00:00:00+00:00,-0.15321452534505023,-0.2926197177233726,0.1685805298341491,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-28 00:00:00+00:00,-0.15393491448359803,-0.2960472183837409,0.16742712249912595,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-29 00:00:00+00:00,-0.15579240181669432,-0.2814581224149932,0.16327108962720605,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-30 00:00:00+00:00,-0.1568066055025798,-0.28069036512408,0.16028515479924654,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-03-31 00:00:00+00:00,-0.15773593285580115,-0.2774851207649008,0.153599226426485,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-01 00:00:00+00:00,-0.15764569360407277,-0.27163048531929346,0.15286489010162407,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-03 00:00:00+00:00,-0.15757615995722643,-0.2716201701242675,0.1526216424541652,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-04 00:00:00+00:00,-0.16151581538409354,-0.26880788830999425,0.1525183747672224,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-05 00:00:00+00:00,-0.15885440155905817,-0.27504429495720806,0.14620772930532863,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-06 00:00:00+00:00,-0.15877103701009734,-0.2757954220735243,0.14579978057928195,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-07 00:00:00+00:00,-0.15922552850647279,-0.274456743629587,0.1438028228979343,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-08 00:00:00+00:00,-0.1620467018766051,-0.27433078922196746,0.14265281209843397,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-10 00:00:00+00:00,-0.16201090559720144,-0.27438444871752116,0.14267474179751544,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-11 00:00:00+00:00,-0.16470488404782835,-0.27277844566419596,0.14232815497885537,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-12 00:00:00+00:00,-0.1629558724820795,-0.2776831959407323,0.13874160961822676,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-13 00:00:00+00:00,-0.16453480589490385,-0.27546791135157167,0.13581154056714959,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-14 00:00:00+00:00,-0.16323244507741438,-0.2782782407215195,0.13444283365221155,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-17 00:00:00+00:00,-0.16335934541548858,-0.27495555117292575,0.13242594944827876,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-18 00:00:00+00:00,-0.1699881608082405,-0.27145471405087246,0.13011813860866064,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-19 00:00:00+00:00,-0.16856768561691113,-0.2689891218636667,0.12850791943229892,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-20 00:00:00+00:00,-0.16855590976234144,-0.26561724590784586,0.1237156004062635,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-21 00:00:00+00:00,-0.1694190691685908,-0.26755147924695205,0.11843506978037831,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-22 00:00:00+00:00,-0.17897619757260116,-0.2698240538120657,0.11132565706583354,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-24 00:00:00+00:00,-0.17872368466824506,-0.26894096053486916,0.11246108698248239,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-25 00:00:00+00:00,-0.1770798802084788,-0.2664249735119993,0.1128891823678643,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-26 00:00:00+00:00,-0.18925880595680086,-0.26647364740886686,0.11144578370134169,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-27 00:00:00+00:00,-0.199506468367557,-0.2663394127888991,0.11377969468062898,OANDA,2022-01-02_2026-04-19,PROXY,60
