exit_time,rolling_pf,strategy
2022-05-30 11:45:00,2.835784313725491,guardian
2022-06-07 23:15:00,2.6969696969696977,guardian
2022-06-21 01:30:00,2.61764705882353,guardian
2022-06-21 11:45:00,2.4935344827586214,guardian
2022-07-25 14:45:00,2.3904958677685952,guardian
2022-07-26 10:45:00,2.2865612648221347,guardian
2022-07-28 09:00:00,2.1707317073170733,guardian
2022-08-10 21:30:00,2.549718574108818,guardian
2022-08-11 14:15:00,2.453068592057762,guardian
2022-09-12 21:00:00,2.339070567986231,guardian
2022-09-29 10:15:00,2.2169657422512237,guardian
2022-10-12 16:30:00,2.412724306688418,guardian
2022-10-25 03:15:00,2.2965838509316776,guardian
2022-10-28 08:30:00,2.2173913043478266,guardian
2022-11-02 14:45:00,2.1528384279475987,guardian
2022-11-07 19:00:00,2.080168776371308,guardian
2022-11-16 21:00:00,1.9959514170040487,guardian
2022-11-24 13:15:00,1.9615384615384617,guardian
2022-11-24 19:00:00,1.9409448818897639,guardian
2022-11-29 13:45:00,1.8840764331210194,guardian
2022-11-29 15:45:00,1.8372670807453417,guardian
2022-12-12 09:30:00,1.7819277108433735,guardian
2022-12-19 10:45:00,1.74,guardian
2022-12-28 03:15:00,1.7039170506912442,guardian
2023-01-04 02:30:00,2.008064516129032,guardian
2023-01-09 12:00:00,1.9606299212598424,guardian
2023-01-09 15:30:00,1.9153846153846155,guardian
2023-01-10 11:30:00,1.876210979547901,guardian
2023-01-25 19:15:00,2.007534983853606,guardian
2023-01-26 09:30:00,1.959033613445378,guardian
2023-01-26 21:45:00,1.9030612244897958,guardian
2023-02-09 09:30:00,1.9447340980187697,guardian
2023-02-20 18:45:00,1.6374458874458875,guardian
2023-03-02 08:45:00,1.6061571125265395,guardian
2023-03-07 09:30:00,1.189542483660131,guardian
2023-03-15 01:30:00,1.1375000000000004,guardian
2023-03-16 10:45:00,1.0937500000000002,guardian
2023-03-29 22:15:00,1.3341346153846156,guardian
2023-04-02 18:00:00,1.37546468401487,guardian
2023-04-03 21:45:00,1.3405797101449277,guardian
2023-04-14 11:00:00,1.310507674144038,guardian
2023-04-20 10:45:00,1.3325330132052824,guardian
2023-04-21 01:30:00,1.2862108922363849,guardian
2023-05-03 18:00:00,1.6454229432213212,guardian
2023-05-05 07:45:00,1.5937149270482607,guardian
2023-05-08 13:45:00,1.5604395604395607,guardian
2023-05-09 10:15:00,1.5318230852211436,guardian
2023-06-02 12:00:00,1.5570175438596492,guardian
2023-06-06 09:30:00,1.563876651982379,guardian
2023-06-07 02:30:00,1.5252416756176157,guardian
2023-07-04 12:00:00,1.565600882028666,guardian
2023-07-21 16:30:00,1.8832369942196532,guardian
2023-09-04 20:45:00,2.001223990208078,guardian
2023-09-21 04:45:00,2.0310559006211175,guardian
2023-10-13 08:30:00,2.423027166882277,guardian
2023-10-16 21:30:00,2.353015075376885,guardian
2023-10-17 13:30:00,2.2758201701093563,guardian
2023-10-20 11:00:00,2.819444444444445,guardian
2023-10-23 15:30:00,2.812342569269522,guardian
2023-11-06 18:15:00,3.0600000000000014,guardian
2023-11-21 09:45:00,3.583690987124464,guardian
2023-11-21 20:15:00,3.4888579387186636,guardian
2023-11-23 10:30:00,3.4409340659340666,guardian
2023-11-27 10:45:00,3.5633001422475106,guardian
2023-12-03 18:00:00,4.018492176386913,guardian
2023-12-14 13:00:00,4.142228739002933,guardian
2023-12-14 19:15:00,4.018492176386913,guardian
2024-01-02 16:15:00,3.9941605839416057,guardian
2024-01-15 20:00:00,4.301886792452829,guardian
2024-01-24 10:00:00,3.9933774834437092,guardian
2024-01-31 15:00:00,3.884057971014493,guardian
2024-02-02 08:30:00,3.745341614906833,guardian
2024-02-20 14:45:00,3.840764331210192,guardian
2024-02-23 01:00:00,3.768750000000001,guardian
2024-02-28 03:45:00,3.7924528301886795,guardian
2024-03-01 03:30:00,3.6993865030674846,guardian
2024-03-18 16:45:00,4.539823008849559,guardian
2024-03-21 09:15:00,4.369676320272573,guardian
2024-04-07 22:30:00,5.097785977859779,guardian
2024-04-10 09:00:00,4.987364620938629,guardian
2024-04-11 10:30:00,4.755593803786575,guardian
2024-04-15 10:00:00,4.960502692998205,guardian
2024-04-16 09:45:00,4.715017064846417,guardian
2024-04-17 12:45:00,4.427884615384616,guardian
2024-04-18 10:30:00,4.205479452054795,guardian
2024-04-21 23:00:00,3.9812680115273773,guardian
2024-04-29 20:00:00,3.5396825396825395,guardian
2024-05-07 04:00:00,3.565406976744186,guardian
2024-05-07 21:30:00,3.450070323488045,guardian
2024-05-19 21:00:00,4.194092827004219,guardian
2024-05-21 22:45:00,4.068212824010914,guardian
2024-05-29 02:15:00,4.068212824010914,guardian
2024-06-07 04:00:00,4.170629370629371,guardian
2024-06-17 11:15:00,4.046132971506106,guardian
2024-06-18 03:45:00,3.9496688741721857,guardian
2024-06-27 20:45:00,3.852713178294574,guardian
2024-07-02 12:00:00,3.7746835443037976,guardian
2024-07-11 11:00:00,4.272151898734178,guardian
2024-07-19 02:00:00,3.88943488943489,guardian
2024-07-30 11:15:00,3.814457831325302,guardian
2024-08-28 16:15:00,4.07710843373494,guardian
2024-08-30 10:15:00,3.714619883040936,guardian
2024-09-05 10:45:00,3.6090909090909093,guardian
2024-09-06 09:15:00,3.5171650055370987,guardian
2024-09-11 08:45:00,3.4335135135135135,guardian
2024-09-17 10:30:00,3.3967914438502675,guardian
2024-09-18 15:00:00,3.3117831074035453,guardian
2024-10-02 16:15:00,3.6183524504692386,guardian
2024-10-14 23:15:00,2.975135135135135,guardian
2024-10-23 03:30:00,3.4899999999999993,guardian
2024-10-31 10:45:00,3.432786885245901,guardian
2024-11-21 09:45:00,3.1631753031973537,guardian
2024-11-24 22:15:00,3.1423877327491785,guardian
2024-12-04 03:30:00,2.714589989350373,guardian
2024-12-05 09:45:00,2.6579770594369134,guardian
2024-12-26 08:30:00,2.752699784017279,guardian
2024-12-27 03:45:00,2.711702127659575,guardian
2025-01-05 23:15:00,2.4754953076120967,guardian
2025-01-17 16:00:00,2.7550158394931357,guardian
2025-01-20 11:15:00,2.7521097046413496,guardian
2025-01-31 10:00:00,3.3028634361233475,guardian
2025-02-20 00:00:00,3.7426303854875274,guardian
2025-02-20 14:30:00,3.6274725274725266,guardian
